FDIA;FEST;FSEN;HOR1;HOR2;HOR3;HOR4;HOR5;HOR6;HOR7;HOR8;HOR9;HOR10;HOR11;HOR12;
01/08/2022;ES01;1-;183;128;104;78;164;593;1379;1483;1384;1226;1240;1284;
01/08/2022;ES01;1=;1220;1445;1232;945;993;1109;924;944;677;556;552;386;
01/08/2022;ES01;2-;205;155;108;78;116;236;528;948;918;915;942;1022;
01/08/2022;ES01;2=;940;1002;1028;891;940;957;849;790;572;487;348;275;
01/08/2022;ES02;1-;226;174;111;98;79;206;552;754;809;788;916;955;
01/08/2022;ES02;1=;940;937;935;784;844;911;876;824;710;587;450;232;
01/08/2022;ES02;2-;535;345;243;180;155;161;406;841;990;964;921;970;
01/08/2022;ES02;2=;1033;984;988;898;878;848;925;919;845;714;648;490;
01/08/2022;ES03;1-;223;103;98;103;89;383;1429;1237;1684;1466;1280;1222;
01/08/2022;ES03;1=;1121;1089;1246;1095;970;1012;993;1021;877;790;543;348;
01/08/2022;ES03;2-;250;137;84;63;65;73;144;273;574;736;778;835;
01/08/2022;ES03;2=;896;921;981;1023;715;780;740;713;759;615;503;290;
01/08/2022;ES04;1-;164;137;39;30;51;190;738;802;924;795;752;693;
01/08/2022;ES04;1=;649;589;610;668;494;607;615;633;550;537;226;242;
01/08/2022;ES04;2-;110;81;42;48;28;61;92;218;344;340;359;449;
01/08/2022;ES04;2=;458;484;551;644;398;388;439;421;351;321;210;134;
01/08/2022;ES05;1-;675;416;418;310;229;325;643;990;1431;1611;1797;1962;
01/08/2022;ES05;1=;2151;2279;2574;2886;2232;2184;2458;2090;2029;1544;1332;1229;
01/08/2022;ES05;2-;467;275;165;152;130;238;834;1537;1791;1629;1428;1363;
01/08/2022;ES05;2=;1297;1239;1235;1251;1276;1233;1245;1228;1097;971;792;567;
01/08/2022;ES06;1-;45;29;26;29;46;152;459;459;469;474;506;520;
01/08/2022;ES06;1=;491;535;550;415;454;450;422;382;273;199;153;104;
01/08/2022;ES06;2-;55;34;33;18;37;126;371;490;501;525;526;516;
01/08/2022;ES06;2=;477;535;543;402;434;496;458;388;303;201;119;94;
01/08/2022;ES07;1-;725;284;202;133;122;200;672;1411;1473;1410;1440;1686;
01/08/2022;ES07;1=;1833;2025;2876;3034;1961;1986;2199;1867;1652;1355;1133;587;
01/08/2022;ES07;2-;546;297;184;135;191;566;2484;3939;3149;2390;1959;1930;
01/08/2022;ES07;2=;1748;1903;2227;1836;1758;1715;1895;1738;1613;1521;1197;529;
01/08/2022;ES08;1-;512;411;149;264;254;224;304;445;575;720;758;753;
01/08/2022;ES08;1=;823;785;787;688;748;770;785;786;765;674;559;514;
01/08/2022;ES08;2-;522;472;329;248;267;242;317;522;658;748;801;903;
01/08/2022;ES08;2=;738;791;771;664;740;724;792;755;772;708;657;546;
01/08/2022;ES09;1-;417;421;305;253;262;225;323;420;624;605;789;697;
01/08/2022;ES09;1=;745;792;693;706;656;664;716;675;709;628;516;437;
01/08/2022;ES09;2-;0;0;0;0;0;0;0;0;0;0;0;0;
01/08/2022;ES09;2=;0;0;0;0;0;0;0;0;0;0;0;0;
01/08/2022;ES10;1-;0;0;0;0;0;0;0;0;0;0;0;0;
01/08/2022;ES10;1=;0;0;0;0;0;0;0;0;0;0;0;0;
01/08/2022;ES10;2-;226;134;87;70;74;154;355;485;468;474;452;468;
01/08/2022;ES10;2=;420;448;496;470;430;477;532;498;473;382;328;197;
01/08/2022;ES11;1-;1617;878;334;182;108;161;611;3435;5347;4788;3789;3189;
01/08/2022;ES11;1=;3086;2932;3063;3616;3226;2718;2819;2909;2527;2261;1855;1280;
01/08/2022;ES11;2-;1549;903;384;186;127;142;298;1214;2629;2944;2571;2449;
01/08/2022;ES11;2=;2709;2788;3379;4582;4453;2935;3387;3790;3168;2871;2392;1806;
01/08/2022;ES12;1-;418;243;185;232;344;887;1708;1878;1816;1776;1806;1757;
01/08/2022;ES12;1=;1750;1702;1627;1506;1575;1587;1499;1524;1293;1079;775;588;
01/08/2022;ES12;2-;0;0;0;0;0;0;0;0;0;0;0;0;
01/08/2022;ES12;2=;0;0;0;0;0;0;0;0;0;0;0;0;
01/08/2022;ES13;1-;184;105;93;96;112;303;767;919;1020;978;1023;1062;
01/08/2022;ES13;1=;983;1015;1002;864;914;980;898;855;663;454;385;317;
01/08/2022;ES13;2-;285;183;104;84;151;308;817;1144;1170;1191;1280;1288;
01/08/2022;ES13;2=;1198;1278;1098;1003;1105;1177;1053;985;754;577;492;421;
01/08/2022;ES14;1-;24;20;15;9;25;59;147;238;271;271;312;320;
01/08/2022;ES14;1=;313;284;247;228;316;327;275;229;194;100;73;47;
01/08/2022;ES14;2-;15;8;1;4;15;34;68;104;131;196;211;183;
01/08/2022;ES14;2=;166;172;150;166;150;157;187;132;101;65;50;45;
01/08/2022;ES15;1-;59;27;20;15;43;130;483;523;415;414;415;438;
01/08/2022;ES15;1=;376;445;447;319;354;378;332;290;243;135;104;60;
01/08/2022;ES15;2-;52;27;16;5;20;80;345;402;441;447;405;395;
01/08/2022;ES15;2=;389;431;403;311;320;343;306;302;190;125;72;62;
01/08/2022;ES16;1-;286;138;77;90;96;271;601;827;956;966;1106;1157;
01/08/2022;ES16;1=;1216;1367;1180;940;1003;1071;1026;930;722;502;449;463;
01/08/2022;ES16;2-;171;112;69;73;92;316;969;1124;994;1042;1059;994;
01/08/2022;ES16;2=;838;927;720;718;785;842;844;745;574;407;303;235;
01/08/2022;ES17;1-;337;212;126;112;246;977;2365;2584;2329;2106;2146;1960;
01/08/2022;ES17;1=;1869;1832;1838;1653;1768;1827;1671;1748;1452;1015;692;521;
01/08/2022;ES17;2-;0;0;0;0;0;0;0;0;0;0;0;0;
01/08/2022;ES17;2=;0;0;0;0;0;0;0;0;0;0;0;0;
01/08/2022;ES18;1-;61;46;20;18;32;169;576;655;590;573;547;519;
01/08/2022;ES18;1=;460;438;344;407;397;421;394;379;287;170;128;96;
01/08/2022;ES18;2-;81;35;28;26;24;61;185;303;403;440;514;511;
01/08/2022;ES18;2=;538;655;595;455;447;510;499;523;405;253;201;169;
01/08/2022;ES19;1-;164;95;86;77;101;219;387;591;638;695;673;661;
01/08/2022;ES19;1=;687;673;637;599;663;701;695;545;423;319;251;199;
01/08/2022;ES19;2-;0;0;0;0;0;0;0;0;0;0;0;0;
01/08/2022;ES19;2=;0;0;0;0;0;0;0;0;0;0;0;0;
01/08/2022;ES20;1-;3663;2485;1507;930;451;685;956;2882;7441;7502;7139;7337;
01/08/2022;ES20;1=;7569;8038;8338;9999;9999;8438;8768;9219;7851;7090;5940;4893;
01/08/2022;ES20;2-;4325;2467;1318;716;581;905;2511;8790;9999;9999;9300;8144;
01/08/2022;ES20;2=;7828;7958;8112;9320;8560;7294;7476;7708;6930;6278;5672;4267;
01/08/2022;ES21;1-;58;32;26;24;34;92;352;428;510;495;570;580;
01/08/2022;ES21;1=;616;637;493;431;519;512;520;484;334;227;174;125;
01/08/2022;ES21;2-;83;46;30;21;80;247;579;906;892;862;856;827;
01/08/2022;ES21;2=;722;750;700;655;648;717;637;600;463;277;198;150;
01/08/2022;ES22;1-;215;212;96;115;119;194;423;734;973;884;756;794;
01/08/2022;ES22;1=;817;754;757;691;692;711;724;690;633;561;425;374;
01/08/2022;ES22;2-;501;274;194;117;109;130;268;450;613;707;755;858;
01/08/2022;ES22;2=;932;894;934;924;807;828;922;789;830;718;524;553;
01/08/2022;ES23;1-;429;267;185;248;229;918;2493;2370;2713;2369;1855;1812;
