FDIA;FEST;FSEN;HOR1;HOR2;HOR3;HOR4;HOR5;HOR6;HOR7;HOR8;HOR9;HOR10;HOR11;HOR12;
01/12/22;ES01;1-;116;76;59;49;76;678;1851;2040;2175;2071;1594;1944;
01/12/22;ES01;1=;2071;2275;1832;1844;1835;2036;1989;1735;1129;780;629;421;
01/12/22;ES01;2-;209;175;132;128;184;332;704;1147;1276;1206;1074;1268;
01/12/22;ES01;2=;1212;1190;1232;1297;1371;1297;1374;1086;722;617;545;359;
01/12/22;ES02;1-;222;173;120;99;82;77;109;312;483;593;596;511;
01/12/22;ES02;1=;527;498;460;455;435;471;415;495;467;398;347;315;
01/12/22;ES02;2-;452;351;267;185;156;245;483;1131;1387;1341;1230;1151;
01/12/22;ES02;2=;1207;1156;1177;1130;1041;1138;1056;1023;1109;959;784;682;
01/12/22;ES03;1-;213;129;96;102;90;145;391;2040;2354;2344;2154;1811;
01/12/22;ES03;1=;1595;1499;1621;1624;1771;1710;1677;1478;1208;971;572;347;
01/12/22;ES03;2-;199;112;73;63;50;61;123;327;677;788;976;1255;
01/12/22;ES03;2=;1329;1519;1502;1571;1144;1430;1509;1514;1097;779;506;258;
01/12/22;ES04;1-;154;120;64;75;62;87;274;1017;1134;1202;997;928;
01/12/22;ES04;1=;941;875;919;856;878;962;991;949;948;680;379;246;
01/12/22;ES04;2-;110;75;47;39;91;42;108;351;639;627;557;653;
01/12/22;ES04;2=;687;731;827;814;723;812;899;904;775;499;330;164;
01/12/22;ES05;1-;1192;732;489;373;343;363;765;1254;1682;1818;1854;2245;
01/12/22;ES05;1=;2374;2755;3192;3112;2790;3142;3166;3110;2928;2044;1616;1355;
01/12/22;ES05;2-;326;214;154;131;131;301;1084;1875;1947;1895;1848;1674;
01/12/22;ES05;2=;1621;1555;1569;1595;1658;1618;1574;1574;1386;1026;785;468;
01/12/22;ES06;1-;37;18;15;29;67;188;847;1114;897;719;690;735;
01/12/22;ES06;1=;708;783;840;847;907;1025;827;568;392;186;147;84;
01/12/22;ES06;2-;34;17;17;18;45;102;448;784;682;479;485;529;
01/12/22;ES06;2=;561;595;681;680;707;820;737;436;257;153;90;72;
01/12/22;ES07;1-;406;202;116;114;85;168;747;1742;2148;1794;1691;1762;
01/12/22;ES07;1=;2123;2532;3381;3406;3048;3335;3473;3025;2550;1973;1207;779;
01/12/22;ES07;2-;287;173;108;91;173;661;3543;4658;3694;3322;2981;2439;
01/12/22;ES07;2=;2198;2442;2897;2770;2325;2606;2781;2226;1963;1491;861;445;
01/12/22;ES08;1-;412;373;321;290;221;302;364;574;656;697;764;831;
01/12/22;ES08;1=;794;720;804;754;743;748;748;779;798;712;606;562;
01/12/22;ES08;2-;621;444;356;301;266;312;389;679;823;767;812;736;
01/12/22;ES08;2=;798;789;827;816;794;811;835;803;848;822;739;714;
01/12/22;ES09;1-;538;505;386;316;300;346;402;508;610;717;800;760;
01/12/22;ES09;1=;579;719;768;814;845;739;735;726;720;686;578;479;
01/12/22;ES09;2-;0;0;0;0;0;0;0;0;0;0;0;0;
01/12/22;ES09;2=;0;0;0;0;0;0;0;0;0;0;0;0;
01/12/22;ES10;1-;0;0;0;0;0;0;0;0;0;0;0;0;
01/12/22;ES10;1=;0;0;0;0;0;0;0;0;0;0;0;0;
01/12/22;ES10;2-;151;103;76;64;72;182;393;560;610;537;481;519;
01/12/22;ES10;2=;310;413;568;640;595;600;609;553;538;364;308;180;
01/12/22;ES11;1-;305;127;69;32;31;48;545;4291;6406;5813;5779;4623;
01/12/22;ES11;1=;3962;1687;3996;4921;4467;3910;3997;4258;3771;3150;2321;1364;
01/12/22;ES11;2-;1029;528;265;142;130;151;340;1562;3655;4422;4020;3607;
01/12/22;ES11;2=;3106;2195;3443;3503;3375;3218;3239;4579;4390;3789;2902;1825;
01/12/22;ES12;1-;361;255;227;227;412;1157;1789;1297;1110;1526;1688;1886;
