FDIA;FEST;FSEN;HOR1;HOR2;HOR3;HOR4;HOR5;HOR6;HOR7;HOR8;HOR9;HOR10;HOR11;HOR12;
01/02/2023;ES01;1-;240;102;102;97;183;741;2100;2606;2392;1812;1842;1954;
01/02/2023;ES01;1=;2106;2176;1842;1880;1893;2123;2078;1848;1239;909;902;533;
01/02/2023;ES01;2-;205;166;108;88;149;308;729;1349;1371;1227;1330;1419;
01/02/2023;ES01;2=;1224;1323;1323;1284;1386;1422;1357;1076;756;542;491;355;
01/02/2023;ES02;1-;210;141;113;86;78;67;118;330;518;615;690;640;
01/02/2023;ES02;1=;405;512;466;468;432;447;492;512;467;393;376;287;
01/02/2023;ES02;2-;464;288;222;171;153;224;571;1213;1351;1375;1180;1229;
01/02/2023;ES02;2=;1141;1206;1194;1181;1122;1103;1078;1095;1037;944;777;766;
01/02/2023;ES03;1-;209;118;106;79;92;120;420;2065;2450;2258;1910;1535;
01/02/2023;ES03;1=;1474;1346;1522;1427;1467;1587;1581;1554;1479;1032;677;451;
01/02/2023;ES03;2-;183;115;91;60;52;60;125;322;732;823;923;1100;
01/02/2023;ES03;2=;1212;1061;995;1219;991;1331;1313;1373;1098;888;616;458;
01/02/2023;ES04;1-;180;114;81;61;62;70;247;1152;1286;1253;873;813;
01/02/2023;ES04;1=;877;917;989;923;974;1002;1090;1035;972;726;488;297;
01/02/2023;ES04;2-;130;66;54;46;32;58;89;336;605;663;603;535;
01/02/2023;ES04;2=;696;713;880;937;755;869;998;1064;868;568;303;242;
01/02/2023;ES05;1-;1066;716;456;320;279;334;652;1187;1818;2121;2152;2212;
01/02/2023;ES05;1=;2427;2596;3333;3247;2871;3193;3399;3356;2951;2239;1751;1604;
01/02/2023;ES05;2-;274;206;174;94;100;286;1039;2027;2062;2057;1789;1618;
01/02/2023;ES05;2=;1586;1498;1606;1609;1738;1638;1677;1485;1443;1171;711;540;
01/02/2023;ES06;1-;33;19;25;35;60;226;783;948;760;638;603;675;
01/02/2023;ES06;1=;640;722;724;805;812;906;765;628;421;235;176;108;
01/02/2023;ES06;2-;36;22;24;31;39;161;504;935;733;568;654;635;
01/02/2023;ES06;2=;657;845;879;764;958;1096;863;572;364;222;167;95;
01/02/2023;ES07;1-;457;226;132;91;78;191;807;1846;2192;1854;1629;1732;
01/02/2023;ES07;1=;2021;2452;3364;3387;2816;3272;3707;3248;2488;1847;1352;721;
01/02/2023;ES07;2-;289;152;89;82;164;686;3629;4783;3945;3391;2563;2220;
01/02/2023;ES07;2=;2152;2352;2957;2849;2520;2362;2515;2293;2019;1538;917;513;
01/02/2023;ES08;1-;601;469;378;290;252;294;383;626;749;841;916;831;
01/02/2023;ES08;1=;472;874;869;860;839;783;831;823;837;818;676;702;
01/02/2023;ES08;2-;586;430;313;277;289;300;393;690;929;913;869;851;
01/02/2023;ES08;2=;440;903;837;826;892;883;891;873;914;811;859;726;
01/02/2023;ES09;1-;464;406;308;262;218;245;364;565;760;778;867;774;
01/02/2023;ES09;1=;905;933;910;818;815;803;917;937;838;788;652;616;
01/02/2023;ES09;2-;0;0;0;0;0;0;0;0;0;0;0;0;
01/02/2023;ES09;2=;0;0;0;0;0;0;0;0;0;0;0;0;
01/02/2023;ES10;1-;0;0;0;0;0;0;0;0;0;0;0;0;
01/02/2023;ES10;1=;0;0;0;0;0;0;0;0;0;0;0;0;
01/02/2023;ES10;2-;147;81;67;51;67;153;352;604;630;570;438;325;
01/02/2023;ES10;2=;559;584;586;578;606;572;558;547;588;424;318;219;
01/02/2023;ES11;1-;667;93;21;19;29;48;599;4251;6565;6245;5787;4011;
01/02/2023;ES11;1=;3352;3266;3492;4656;4206;3731;3913;4199;3577;3020;2180;1400;
01/02/2023;ES11;2-;922;507;183;151;145;129;378;1385;3050;3739;3452;3031;
01/02/2023;ES11;2=;3148;3389;4025;5036;4924;4517;4700;4700;4933;3902;2886;1847;
01/02/2023;ES12;1-;320;248;179;202;345;1095;1797;1519;1722;1784;1902;1714;
01/02/2023;ES12;1=;1609;1700;1497;1855;1401;1362;911;1685;1691;1297;1079;732;
01/02/2023;ES12;2-;0;0;0;0;0;0;0;0;0;0;0;0;
01/02/2023;ES12;2=;0;0;0;0;0;0;0;0;0;0;0;0;
01/02/2023;ES13;1-;270;127;118;104;143;415;1122;1490;1540;1338;1342;1401;
01/02/2023;ES13;1=;1407;1468;1316;1331;1416;1465;1454;1394;1008;770;686;466;
01/02/2023;ES13;2-;319;181;122;98;152;390;1086;1587;1642;1295;1390;1555;
01/02/2023;ES13;2=;1728;1753;1532;1513;1602;1679;1675;1498;1097;775;720;597;
01/02/2023;ES14;1-;41;16;19;17;15;49;184;487;504;406;388;400;
01/02/2023;ES14;1=;380;325;301;385;386;338;271;299;200;159;120;73;
01/02/2023;ES14;2-;25;12;9;7;10;30;87;193;245;249;271;297;
01/02/2023;ES14;2=;291;340;209;279;326;271;272;242;162;101;96;62;
01/02/2023;ES15;1-;57;28;30;26;55;255;998;1176;981;848;812;761;
01/02/2023;ES15;1=;815;982;845;872;868;1051;951;663;472;287;213;123;
01/02/2023;ES15;2-;41;26;17;17;45;130;584;1034;1017;799;761;701;
01/02/2023;ES15;2=;782;849;742;753;840;784;746;600;448;209;120;82;
01/02/2023;ES16;1-;220;148;109;72;108;306;984;1359;1234;1267;1371;1455;
01/02/2023;ES16;1=;1527;1565;1535;1511;1540;1512;1593;1556;1154;760;726;526;
01/02/2023;ES16;2-;109;81;63;46;92;399;1259;1309;1249;943;867;1312;
01/02/2023;ES16;2=;1417;1393;1296;1356;1366;1426;1374;1219;904;519;447;309;
