FDIA;FEST;FSEN;HOR1;HOR2;HOR3;HOR4;HOR5;HOR6;HOR7;HOR8;HOR9;HOR10;HOR11;HOR12;
01/10/2022;ES01;1-;940;811;472;375;358;405;347;485;676;824;1048;1173;
01/10/2022;ES01;1=;1496;1544;944;928;1112;1176;1357;1701;1589;1077;967;1095;
01/10/2022;ES01;2-;675;538;430;378;331;461;283;307;610;762;1143;1212;
01/10/2022;ES01;2=;1267;1114;861;963;1109;1139;1104;1211;1168;952;808;803;
01/10/2022;ES02;1-;385;308;290;252;211;198;186;189;230;313;391;472;
01/10/2022;ES02;1=;557;519;530;429;518;529;655;619;552;578;458;459;
01/10/2022;ES02;2-;1029;947;632;575;493;436;444;511;637;823;962;1035;
01/10/2022;ES02;2=;1178;1179;1234;1009;998;1160;1180;1153;1134;1182;1188;1100;
01/10/2022;ES03;1-;677;479;297;249;179;182;263;433;488;800;975;1202;
01/10/2022;ES03;1=;1319;1332;1332;785;688;981;1132;1237;1374;1303;772;599;
01/10/2022;ES03;2-;680;397;235;166;133;123;129;165;256;355;486;606;
01/10/2022;ES03;2=;725;798;953;676;497;551;667;732;920;969;640;429;
01/10/2022;ES04;1-;497;433;272;250;204;190;219;247;298;473;590;705;
01/10/2022;ES04;1=;791;923;947;629;471;728;823;845;930;936;660;489;
01/10/2022;ES04;2-;272;231;188;173;108;93;121;124;164;296;385;506;
01/10/2022;ES04;2=;611;634;627;332;205;375;371;372;408;485;352;234;
01/10/2022;ES05;1-;1964;1711;1299;1108;1002;771;966;904;784;1337;1581;1884;
01/10/2022;ES05;1=;2120;2214;2388;2096;1983;2109;1988;2088;2375;2303;2192;2070;
01/10/2022;ES05;2-;668;498;319;300;277;297;522;567;718;1123;1213;1437;
01/10/2022;ES05;2=;1610;1738;1746;1118;1076;1419;1594;1759;1771;1678;1206;877;
01/10/2022;ES06;1-;147;96;49;74;53;115;136;199;278;385;520;547;
01/10/2022;ES06;1=;605;521;315;334;414;434;417;516;452;280;242;230;
01/10/2022;ES06;2-;201;119;74;72;53;79;114;187;267;391;474;506;
01/10/2022;ES06;2=;611;498;349;322;414;410;396;432;392;271;248;241;
01/10/2022;ES07;1-;1003;795;522;367;305;247;508;679;1011;1412;1820;2700;
01/10/2022;ES07;1=;2793;2787;2642;1902;1658;1950;2012;1993;2202;1919;1565;1337;
01/10/2022;ES07;2-;795;523;397;258;257;365;809;1143;1382;1942;1987;2345;
01/10/2022;ES07;2=;2652;2907;2777;1553;1774;2433;2775;3272;3026;2272;1534;1321;
01/10/2022;ES08;1-;734;694;645;560;597;481;521;540;518;646;809;884;
01/10/2022;ES08;1=;881;875;849;823;847;835;874;854;804;687;739;818;
01/10/2022;ES08;2-;857;759;685;602;605;539;558;591;566;699;826;865;
01/10/2022;ES08;2=;891;935;902;933;886;876;906;874;676;671;901;842;
01/10/2022;ES09;1-;688;698;586;688;529;498;506;508;537;634;837;904;
