COD_VIA;VIA_SQC;VIA_CLASE;VIA_PAR;VIA_NOMBRE;VIA_NOMBRE_ACENTOS;FECHA_DE_ALTA;FECHA_DE_BAJA;VIA_ESTADO
125;1;CALLE;;A;A;01/01/1977;27/12/1985;H
127;1;CALLE;DE;ISABEL COLBRAND;ISABEL COLBRAND;31/10/1985;;V
127;2;CALLE;;A;A;01/08/1983;31/10/1985;V
130;2;CALLE;DE;ELIAS TORMO;ELÍAS TORMO;27/12/1985;01/01/2004;H
130;1;CALLE;;A;A;01/01/1973;27/12/1985;H
150;2;CALLE;DE;GONZALEZ DAVILA;GONZÁLEZ DÁVILA;27/12/1985;;V
200;1;CALLE;DE LA;ABADA;ABADA;11/01/1835;;V
300;1;CALLE;DE LOS;ABADES;ABADES;11/01/1835;;V
400;1;CALLE;DE LA;ABADESA;ABADESA;01/01/1929;;V
500;1;CALLE;DE;ABADIA;ABADÍA;01/01/1898;01/01/1975;H
600;1;CALLE;DE;ABALOS;ÁBALOS;31/05/1961;;V
700;1;CALLE;DEL;ABANICO;ABANICO;09/03/1962;;V
701;1;PASO ELEVADO;DE;ENRIQUE DE LA MATA GOROSTIZAGA;ENRIQUE DE LA MATA GOROSTIZAGA;30/06/1988;;V
702;1;AVENIDA;DE LA;FUENTE DE LA MORA;FUENTE DE LA MORA;30/09/1988;;V
703;1;CALLE;DE;FEDERICO MORENO TORROBA;FEDERICO MORENO TORROBA;30/09/1988;;V
704;1;PLAZA;DE;ANDRES SEGOVIA;ANDRÉS SEGOVIA;28/10/1988;;V
705;1;CALLE;DEL;CONCEJAL BENITO MARTIN LOZANO;CONCEJAL BENITO MARTÍN LOZANO;28/10/1988;;V
706;1;PASAJE;DEL;OLIVINO;OLIVINO;30/11/1988;;V
707;1;CALLE;DE LAS;PLANTAS;PLANTAS;30/11/1988;;V
708;1;CALLE;DE LAS;HIERBAS;HIERBAS;30/11/1988;;V
709;1;CALLE;DEL;ANIS;ANÍS;30/11/1988;;V
710;1;CALLE;DEL;EBANO;ÉBANO;30/11/1988;;V
711;1;CALLE;DEL;ALCORNOQUE;ALCORNOQUE;30/11/1988;;V
712;1;CALLE;DEL;PALOSANTO;PALOSANTO;30/11/1988;;V
713;1;CALLE;DEL;MORTERO;MORTERO;30/11/1988;;V
714;1;CALLE;DEL;AUTILLO;AUTILLO;30/11/1988;;V
715;1;RONDA;DE LAS;FLORES;FLORES;30/11/1988;;V
716;1;CALLE;DE;FRANCISCO GIRALTE;FRANCISCO GIRALTE;22/12/1988;;V
717;1;CALLE;DE;JOSE BARDASANO BAOS;JOSÉ BARDASANO BAOS;30/09/1991;27/11/1992;V
717;2;CALLE;DEL;CARDENAL MARCELO SPINOLA;CARDENAL MARCELO SPÍNOLA;27/11/1992;;V
718;1;CALLE;DE;JOSEP PLA;JOSEP PLA;22/12/1988;;V
720;1;CALLE;DE;FOBOS;FOBOS;01/07/1988;;V
721;1;CALLE;DE;OBERON;OBERÓN;30/05/1989;;V
722;1;CALLE;DE;NICOLAS MARIA URGOITI;NICOLÁS MARÍA URGOITI;30/05/1989;;V
723;1;CALLE;DEL;HELECHO;HELECHO;30/05/1989;;V
724;1;CALLE;DE;LA ESTRADA;LA ESTRADA;30/05/1989;;V
725;1;PASEO;DEL;ZURRON;ZURRÓN;30/05/1989;;V
726;1;CALLE;DEL;MURO;MURO;30/05/1989;;V
727;1;CALLE;DE;CALDERON;CALDERÓN;30/05/1989;;V
728;1;AVENIDA;DE LA;GRAN VIA DE HORTALEZA;GRAN VÍA DE HORTALEZA;30/05/1989;;V
729;1;CALLE;DE;PEDRO MORENO;PEDRO MORENO;30/05/1989;;V
730;1;CALLE;DE;FRANCISCO GINER DE LOS RIOS;FRANCISCO GINER DE LOS RÍOS;30/05/1989;;V
731;1;COSTANILLA;DEL;CALERO;CALERO;30/05/1989;;V
732;1;TRAVESÍA;DE;CESAR GONZALEZ RUANO;CÉSAR GONZÁLEZ RUANO;30/05/1989;;V
733;1;CALLE;DE;LUIS CERNUDA;LUIS CERNUDA;30/05/1989;;V
734;1;CALLE;DE;FERNANDO PESSOA;FERNANDO PESSOA;30/05/1989;;V
735;1;CALLE;DE LA;ELECTRONICA;ELECTRÓNICA;30/05/1989;;V
736;1;CALLE;DEL;PADRE COLOMA;PADRE COLOMA;30/05/1989;;V
737;1;CALLE;DE LAS;BATERIAS;BATERÍAS;30/05/1989;;V
738;1;CALLE;DE;MARIA ZAMBRANO;MARÍA ZAMBRANO;30/05/1989;;V
739;1;CALLE;DE LA;VIRGEN DEL ESPINO;VIRGEN DEL ESPINO;30/05/1989;;V
740;1;CALLE;DE;FELIPE TRIGO;FELIPE TRIGO;30/05/1989;;V
741;1;CALLE;DEL;CERRO;CERRO;30/05/1989;;V
742;1;TRAVESÍA;DEL;CONDADO DE TREVIÑO;CONDADO DE TREVIÑO;30/05/1989;;V
743;1;CALLE;DE LA;SENDA;SENDA;30/05/1989;;V
744;1;CALLE;DE LA;VEREDA;VEREDA;30/05/1989;;V
745;1;CALLE;DEL;ARTE;ARTE;30/05/1989;;V
746;1;CALLE;DE LA;CULTURA;CULTURA;30/05/1989;;V
747;1;CALLE;DEL;VIOLIN;VIOLÍN;30/05/1989;;V
748;1;CALLE;DEL;OBOE;OBOE;30/05/1989;;V
749;1;CALLE;DEL;LAUD;LAÚD;30/05/1989;;V
750;1;CALLE;DEL;QUEROL;QUEROL;30/05/1989;;V
751;1;CALLE;DE LA;DULZAINA;DULZAINA;30/05/1989;;V
752;1;PASAJE;DE;CALERUEGA;CALERUEGA;30/05/1989;;V
753;1;CALLE;DE LA;EDUCACION;EDUCACIÓN;30/05/1989;;V
754;1;CALLE;DEL;CANAL DE PANAMA;CANAL DE PANAMÁ;30/05/1989;;V
755;1;CALLE;DEL;CANAL DE MOZAMBIQUE;CANAL DE MOZAMBIQUE;30/05/1989;;V
756;1;CALLE;DE;PABLO SANCHEZ;PABLO SÁNCHEZ;30/05/1989;;V
757;1;CALLE;DE LA;INDULGENCIA;INDULGENCIA;30/05/1989;;V
758;1;CALLE;DE LA;DALIA;DALIA;30/05/1989;;V
759;1;CAMINO;DE LA;CUERDA;CUERDA;30/05/1989;;V
760;1;CALLE;DE;BRIVIESCA;BRIVIESCA;30/05/1989;;V
761;1;CALLE;DE;JOSE BASTOS;JOSÉ BASTOS;22/06/1989;;V
762;1;CALLE;DE LA;LAGUNA DE LOS PAJAROS;LAGUNA DE LOS PÁJAROS;22/06/1989;;V
763;1;CALLE;DEL;PICO DE LA GOLONDRINA;PICO DE LA GOLONDRINA;22/06/1989;;V
764;1;CALLE;DE LA;LOMA DE LOS BAILANDEROS;LOMA DE LOS BAILANDEROS;22/06/1989;;V
765;1;CALLE;DEL;PUERTO DE FUENFRIA;PUERTO DE FUENFRÍA;22/06/1989;;V
766;1;CALLE;DEL;PICO ALMENARA;PICO ALMENARA;22/06/1989;;V
767;1;CALLE;DEL;MONTON DE TRIGO;MONTÓN DE TRIGO;22/06/1989;;V
768;1;CALLE;DE;CABEZA LIJAR;CABEZA LÍJAR;22/06/1989;;V
769;1;CALLE;DEL;CERRO SAN PEDRO;CERRO SAN PEDRO;22/06/1989;;V
770;1;CALLE;DEL;PICO TRES PROVINCIAS;PICO TRES PROVINCIAS;22/06/1989;18/11/1997;H
771;1;CALLE;DE LA;SIERRA DE LOS PORRONES;SIERRA DE LOS PORRONES;22/06/1989;18/11/1997;H
772;1;CALLE;DE LA;PEÑA DEL YELMO;PEÑA DEL YELMO;22/06/1989;;V
773;1;CALLE;DE LAS;ESTACIONES;ESTACIONES;22/06/1989;01/04/2000;H
774;1;CALLE;DEL;CALENDARIO;CALENDARIO;22/06/1989;;V
775;1;PLAZA;DEL;VERANO;VERANO;22/06/1989;;V
776;1;AVENIDA;;FIN DE SEMANA;FIN DE SEMANA;22/06/1989;;V
777;1;AVENIDA;DEL;INVIERNO;INVIERNO;22/06/1989;;V
778;1;PLAZA;DE;JUAN DE LA COSSA;JUAN DE LA COSSA;22/06/1989;;V
779;1;CALLE;DE;DOÑA JUANA I DE CASTILLA;DOÑA JUANA I DE CASTILLA;22/06/1989;;V
780;1;CALLE;DEL;DOCTOR ZAMENHOF;DOCTOR ZAMENHOF;22/06/1989;;V
781;1;PLAZA;DE;RODOLFO Y ERNESTO HALFFTER;RODOLFO Y ERNESTO HALFFTER;29/09/1989;;V
782;1;PLAZA;DE;JOAQUIN RODRIGO;JOAQUÍN RODRIGO;29/09/1989;;V
783;1;CALLE;DEL;RISCO DE LOS CLAVELES;RISCO DE LOS CLAVELES;29/09/1989;;V
784;1;CALLE;DEL;PICO OCEJON;PICO OCEJÓN;29/09/1989;;V
