COD_VIA;VIA_CLASE;VIA_PAR;VIA_NOMBRE;COD_VIA_COMIENZA;CLASE_COMIENZA;PARTICULA_COMIENZA;VIA_NOMBRE_COMIENZA;COD_VIA_TERMINA;CLASE_TERMINA;PARTICULA_TERMINA;VIA_NOMBRE_TERMINA
31001337;AUTOVÍA;;A-1;31001349;AUTOVIA;;M-30;99000003;LUGAR;LÍMITE TÉRMINO MUNICIPAL;LÍMITE TÉRMINO MUNICIPAL
31001336;AUTOVÍA;;A-2;00310200;CALLE;DE;FRANCISCO SILVELA;99000003;LUGAR;LÍMITE TÉRMINO MUNICIPAL;LÍMITE TÉRMINO MUNICIPAL
31001342;AUTOVÍA;;A-3;00480800;PLAZA;DE;MARIANO DE CAVIA;99000003;LUGAR;LÍMITE TÉRMINO MUNICIPAL;LÍMITE TÉRMINO MUNICIPAL
31001341;AUTOVÍA;;A-42;00468400;AVENIDA;DEL;MANZANARES;99000003;LUGAR;LÍMITE TÉRMINO MUNICIPAL;LÍMITE TÉRMINO MUNICIPAL
31001340;AUTOVÍA;;A-5;00687520;GLORIETA;DE;SAN VICENTE;99000003;LUGAR;LÍMITE TÉRMINO MUNICIPAL;LÍMITE TÉRMINO MUNICIPAL
31001339;AUTOVÍA;;A-6;00614700;GLORIETA;DE LA;PUERTA DE HIERRO;99000003;LUGAR;LÍMITE TÉRMINO MUNICIPAL;LÍMITE TÉRMINO MUNICIPAL
31000210;CALLE;DEL;ABAD JUAN CATALÁN;00978785;CARRETERA;DE;VICÁLVARO A LA ESTACIÓN DE O'DONNELL;99000001;LUGAR;;FONDO DE SACO
00000200;CALLE;DE LA;ABADA;00656500;CALLE;DE LA;SALUD;342950;CALLE;;GRAN VÍA
00000300;CALLE;DE LOS;ABADES;00505000;CALLE;DEL;MESÓN DE PAREDES;262000;CALLE;DE;EMBAJADORES
00000400;CALLE;DE LA;ABADESA;00643000;CALLE;DE;ROBLEDO;509600;CALLE;DE LA;MIOSOTIS
00000600;CALLE;DE;ÁBALOS;99000001;LUGAR;;FONDO DE SACO;169200;CALLE;DE;CIDAMÓN
31001576;CARRETERA;;ABANDONADA;00905094;VIA;;FERROCARRIL DE MADRID CHAMARTÍN A BURGOS;905614;CAMINO;DEL;VALLE TOCÓN
00000700;CALLE;DEL;ABANICO;00737900;CALLE;DE LOS;TEJEDORES;562200;CALLE;DE LA;PAÑERÍA
00000800;CALLE;DE;ABANTOS;00144700;CALLE;DE;CARLOS PEREYRA;582200;CALLE;DE;LA PEÑOTA
00000900;CALLE;DEL;ABARDERO;00239000;CALLE;DE LA;DIVINA PASTORA;384400;CALLE;DE LAS;ISLAS ANTÍPODAS
00001000;CALLE;DE;ABÁRZUZA;00469100;CALLE;DEL;MAR DE LAS ANTILLAS;469100;CALLE;DEL;MAR DE LAS ANTILLAS
