FDIA;FEST;FSEN;HOR1;HOR2;HOR3;HOR4;HOR5;HOR6;HOR7;HOR8;HOR9;HOR10;HOR11;HOR12
01/04/2021;ES01;1-;38;32;25;17;46;165;176;218;331;467;662;811
01/04/2021;ES01;1=;944;856;577;720;886;952;1067;1100;941;1029;724;86
01/04/2021;ES01;2-;62;27;24;37;31;130;126;232;330;606;771;978
01/04/2021;ES01;2=;1084;912;608;824;1019;1209;1089;949;724;685;597;147
01/04/2021;ES02;1-;221;80;55;44;53;48;80;138;184;260;335;430
01/04/2021;ES02;1=;545;593;578;496;464;604;626;714;560;589;585;499
01/04/2021;ES02;2-;200;130;69;50;74;147;461;1008;1183;1053;1020;700
01/04/2021;ES02;2=;1010;918;805;917;965;890;949;939;1061;977;948;724
01/04/2021;ES03;1-;141;98;71;69;78;89;139;325;361;440;678;837
01/04/2021;ES03;1=;974;1053;1037;619;574;788;956;941;871;928;684;582
01/04/2021;ES03;2-;145;81;68;34;46;50;75;141;210;212;370;438
01/04/2021;ES03;2=;625;678;656;562;397;489;565;596;675;684;616;440
01/04/2021;ES04;1-;87;49;55;38;38;41;93;153;180;233;387;497
01/04/2021;ES04;1=;565;708;777;442;370;557;670;759;812;686;471;398
01/04/2021;ES04;2-;65;48;52;56;35;22;62;109;123;150;235;364
01/04/2021;ES04;2=;459;459;449;249;242;331;341;318;298;314;292;234
01/04/2021;ES05;1-;801;266;181;152;136;139;246;395;458;688;987;1280
01/04/2021;ES05;1=;1506;1729;1766;1470;1395;1583;1800;1856;1787;2013;1834;1839
01/04/2021;ES05;2-;182;113;90;75;90;133;372;438;665;752;1018;1418
01/04/2021;ES05;2=;1574;1783;1594;1045;1056;1393;1708;1666;1333;1179;981;669
01/04/2021;ES06;1-;33;18;9;12;8;24;48;91;134;173;188;304
01/04/2021;ES06;1=;396;442;399;239;285;271;356;368;429;427;297;280
01/04/2021;ES06;2-;22;13;9;9;16;33;67;128;187;250;382;429
01/04/2021;ES06;2=;435;397;280;271;367;415;395;415;318;301;208;39
01/04/2021;ES07;1-;278;84;75;45;36;80;278;432;613;762;1294;2097
01/04/2021;ES07;1=;2265;1957;1761;1427;1249;1639;1692;1537;1679;1849;1814;992
01/04/2021;ES07;2-;140;58;46;48;68;197;610;790;917;1073;1568;1910
01/04/2021;ES07;2=;2088;2243;1960;1195;1397;1994;2269;2178;2118;1827;1450;542
01/04/2021;ES08;1-;314;119;106;89;99;84;163;200;230;344;440;610
01/04/2021;ES08;1=;712;756;813;680;661;729;728;850;769;725;687;548
01/04/2021;ES08;2-;368;130;105;83;105;103;124;174;235;318;395;556
01/04/2021;ES08;2=;660;718;791;694;656;726;709;792;816;797;809;699
01/04/2021;ES09;1-;329;124;101;91;84;125;144;227;312;450;530;640
01/04/2021;ES09;1=;779;843;774;655;655;757;831;910;823;724;722;730
01/04/2021;ES09;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/04/2021;ES09;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/04/2021;ES10;1-;0;0;0;0;0;0;0;0;0;0;0;0
01/04/2021;ES10;1=;0;0;0;0;0;0;0;0;0;0;0;0
01/04/2021;ES10;2-;139;44;52;40;32;62;121;205;318;374;453;571
01/04/2021;ES10;2=;582;576;496;420;431;528;516;491;516;510;517;354
01/04/2021;ES11;1-;1292;0;72;45;41;71;237;735;1197;1549;2004;2843
01/04/2021;ES11;1=;3320;3673;3698;2792;1447;1716;2289;2542;2430;2201;2201;1950
01/04/2021;ES11;2-;1726;0;116;68;40;19;29;130;61;62;205;1495
01/04/2021;ES11;2=;2735;2957;1340;1894;680;1984;2914;2721;2504;2755;1934;1148
01/04/2021;ES12;1-;91;74;67;58;146;322;359;562;749;1139;1469;1624
01/04/2021;ES12;1=;1817;1702;1205;1232;1668;1708;1922;1889;1813;1583;1182;209
01/04/2021;ES12;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/04/2021;ES12;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/04/2021;ES13;1-;63;56;37;46;72;138;193;306;389;508;751;860
01/04/2021;ES13;1=;1016;955;629;694;836;966;1033;1021;900;771;664;126
01/04/2021;ES13;2-;93;74;50;35;57;170;184;287;432;543;754;943
01/04/2021;ES13;2=;1036;1144;746;747;959;1047;1093;1231;1091;1184;887;226
01/04/2021;ES14;1-;15;5;4;3;8;20;45;59;99;117;189;257
01/04/2021;ES14;1=;274;292;146;146;166;235;252;203;173;146;97;24
01/04/2021;ES14;2-;9;3;5;2;8;6;22;44;61;76;123;145
01/04/2021;ES14;2=;192;206;88;103;130;145;189;205;171;118;92;23
01/04/2021;ES15;1-;15;15;9;11;11;55;131;117;162;242;352;400
01/04/2021;ES15;1=;456;364;225;251;297;292;337;312;274;280;192;33
01/04/2021;ES15;2-;13;10;10;5;13;37;80;90;119;179;232;297
01/04/2021;ES15;2=;390;344;201;189;262;290;352;346;268;246;103;26
01/04/2021;ES16;1-;85;58;38;44;39;155;225;317;432;588;900;957
01/04/2021;ES16;1=;1043;940;657;752;903;987;990;1035;914;972;736;180
01/04/2021;ES16;2-;59;49;50;42;50;130;153;244;352;493;688;865
01/04/2021;ES16;2=;988;902;549;581;769;895;923;982;769;623;425;98
01/04/2021;ES17;1-;82;74;53;52;101;292;349;595;801;1133;1616;1845
01/04/2021;ES17;1=;2230;1893;1209;1225;1816;2127;2279;2345;1940;1479;823;177
01/04/2021;ES17;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/04/2021;ES17;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/04/2021;ES18;1-;25;19;17;16;15;48;79;132;207;283;387;451
01/04/2021;ES18;1=;521;460;264;280;464;540;567;471;388;344;213;53
01/04/2021;ES18;2-;29;14;19;20;13;24;62;104;141;204;400;646
01/04/2021;ES18;2=;699;631;439;462;629;686;682;632;526;453;337;71
01/04/2021;ES19;1-;60;50;40;33;53;104;156;218;287;435;552;653
01/04/2021;ES19;1=;677;572;435;446;528;574;573;577;524;510;388;127
01/04/2021;ES19;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/04/2021;ES19;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/04/2021;ES20;1-;6134;0;442;329;258;280;471;1277;1984;2633;3408;4936
01/04/2021;ES20;1=;6540;7351;7581;6679;5446;5356;6600;6896;6272;6345;6816;6589
01/04/2021;ES20;2-;4052;0;281;202;204;310;870;2250;3161;4097;5144;6333
01/04/2021;ES20;2=;7104;7697;8366;7618;4549;4690;6448;7159;6758;6659;6504;5800
01/04/2021;ES21;1-;25;19;24;20;36;56;95;147;279;397;467;592
01/04/2021;ES21;1=;672;587;348;365;423;474;559;631;459;462;326;57
01/04/2021;ES21;2-;27;30;19;24;35;81;146;186;350;494;635;815
01/04/2021;ES21;2=;920;801;408;430;609;798;691;757;524;418;298;71
01/04/2021;ES22;1-;189;88;70;76;87;82;144;193;252;392;485;606
01/04/2021;ES22;1=;738;808;748;548;504;659;789;792;843;732;652;606
01/04/2021;ES22;2-;292;119;84;76;48;73;110;185;238;353;476;687
01/04/2021;ES22;2=;801;936;887;692;605;781;917;869;913;856;774;740
01/04/2021;ES23;1-;306;180;147;142;121;188;375;412;538;726;925;1287
01/04/2021;ES23;1=;1454;1722;1472;1042;1075;1366;1666;1725;1486;1226;1011;930
01/04/2021;ES23;2-;866;290;172;149;146;164;258;404;431;629;831;1094
01/04/2021;ES23;2=;1347;1601;1659;1376;1322;1574;1653;1762;1825;1857;1849;1915
01/04/2021;ES24;1-;100;51;39;33;50;37;47;50;81;150;237;351
01/04/2021;ES24;1=;435;513;407;300;290;355;415;453;502;401;443;355
01/04/2021;ES24;2-;66;40;46;37;37;29;47;55;105;159;221;314
01/04/2021;ES24;2=;388;429;295;217;232;323;377;384;331;235;211;153
01/04/2021;ES25;1-;76;26;26;19;28;24;40;45;41;83;85;120
01/04/2021;ES25;1=;168;171;205;165;166;158;133;160;161;165;170;110
01/04/2021;ES25;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/04/2021;ES25;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/04/2021;ES26;1-;138;58;48;51;49;46;47;111;115;123;173;189
01/04/2021;ES26;1=;234;264;271;217;213;207;247;246;272;257;259;240
01/04/2021;ES26;2-;148;64;41;32;34;32;43;73;91;114;192;219
01/04/2021;ES26;2=;275;290;312;291;239;255;273;283;314;306;285;296
01/04/2021;ES27;1-;497;173;138;144;124;135;271;349;396;583;894;1152
01/04/2021;ES27;1=;1410;1470;1513;1196;1072;1376;1656;1636;1528;1391;1137;1115
01/04/2021;ES27;2-;84;76;57;69;116;117;162;208;288;407;569;803
