FDIA;FEST;FSEN;HOR1;HOR2;HOR3;HOR4;HOR5;HOR6;HOR7;HOR8;HOR9;HOR10;HOR11;HOR12;
01/04/2022;ES01;1-;518;308;215;180;267;705;1890;2326;2031;1757;1900;1938;
01/04/2022;ES01;1=;2161;2619;2209;1816;1754;1751;1733;1835;1689;1251;1037;1239;
01/04/2022;ES01;2-;413;309;261;212;187;356;712;1316;1438;1201;1309;1321;
01/04/2022;ES01;2=;1329;1315;1348;1319;1373;1307;1356;1387;1218;907;761;780;
01/04/2022;ES02;1-;285;256;162;143;98;107;161;302;550;620;530;547;
01/04/2022;ES02;1=;558;529;482;461;482;499;577;614;536;552;487;436;
01/04/2022;ES02;2-;671;490;371;252;245;289;587;1137;1305;1244;1128;1151;
01/04/2022;ES02;2=;1208;1243;1286;1267;1172;1103;1117;1132;1092;1143;1155;983;
01/04/2022;ES03;1-;400;220;137;111;118;144;449;1952;2557;2175;1711;1574;
01/04/2022;ES03;1=;1628;1502;1870;2194;1970;1612;1765;1705;1588;1252;251;674;
01/04/2022;ES03;2-;328;169;110;83;71;90;136;359;805;1004;1055;1157;
01/04/2022;ES03;2=;1308;1561;1765;1920;1429;1316;1373;1293;1320;1108;779;504;
01/04/2022;ES04;1-;114;80;74;66;113;119;302;1009;1209;1214;914;919;
01/04/2022;ES04;1=;989;963;1002;953;920;981;982;920;1070;247;340;476;
01/04/2022;ES04;2-;191;135;78;68;65;75;125;314;629;647;607;618;
01/04/2022;ES04;2=;708;727;835;786;941;759;735;661;625;558;423;265;
01/04/2022;ES05;1-;1557;1049;695;595;459;447;823;1254;1908;2011;2109;2303;
01/04/2022;ES05;1=;2699;2917;3459;3489;3287;3142;2950;2712;2813;2547;2220;1788;
01/04/2022;ES05;2-;407;235;182;176;148;273;1027;1982;2041;2095;1642;1528;
01/04/2022;ES05;2=;1533;1606;1786;1878;1708;1730;1726;1776;1866;1586;1107;800;
01/04/2022;ES06;1-;63;34;29;38;63;199;734;791;756;632;699;764;
01/04/2022;ES06;1=;840;1080;966;753;907;750;728;731;567;311;260;225;
01/04/2022;ES06;2-;95;28;28;36;45;147;505;861;777;627;623;686;
01/04/2022;ES06;2=;701;1153;1274;897;812;737;628;675;500;321;261;246;
01/04/2022;ES07;1-;562;297;201;158;135;231;744;1960;2284;1929;1682;2010;
01/04/2022;ES07;1=;2197;2755;3983;4363;3341;3149;2936;2535;2532;2179;1731;1128;
01/04/2022;ES07;2-;349;216;151;101;186;646;3344;4398;3632;3145;2535;2292;
01/04/2022;ES07;2=;2461;2682;3532;2901;2482;2607;2624;2550;2564;2142;1381;868;
01/04/2022;ES08;1-;687;587;469;363;356;349;456;595;754;879;935;823;
01/04/2022;ES08;1=;791;844;899;861;871;834;764;924;818;927;868;901;
01/04/2022;ES08;2-;733;659;482;391;432;375;488;727;883;850;807;914;
01/04/2022;ES08;2=;857;871;836;814;855;875;941;948;949;897;882;880;
