FDIA;FEST;FSEN;HOR1;HOR2;HOR3;HOR4;HOR5;HOR6;HOR7;HOR8;HOR9;HOR10;HOR11;HOR12
01/12/21;ES01;1-;320;117;99;58;141;791;2060;2144;2109;1844;1901;1838
01/12/21;ES01;1=;1951;1937;1839;1918;1918;1916;1918;2008;1352;851;888;650
01/12/21;ES01;2-;196;115;90;83;130;358;921;1512;1668;1427;1654;1450
01/12/21;ES01;2=;1581;1597;1548;1460;1441;1294;1110;1309;1041;709;588;560
01/12/21;ES02;1-;288;234;132;107;81;243;676;1029;1154;1077;1096;1073
01/12/21;ES02;1=;1054;988;1011;967;1031;1003;1006;1008;926;726;409;388
01/12/21;ES02;2-;295;166;114;160;167;232;1155;1226;1392;1254;1246;1103
01/12/21;ES02;2=;1194;1143;1120;1180;1154;1103;1038;1026;1023;1043;775;758
01/12/21;ES03;1-;276;168;92;97;101;691;2264;2441;2667;2430;2041;1823
01/12/21;ES03;1=;1658;1666;1823;1772;1690;1813;1801;1899;1660;1106;700;478
01/12/21;ES03;2-;253;143;70;65;67;169;509;1029;841;943;1094;1319
01/12/21;ES03;2=;1507;1590;1820;1685;1279;1597;1667;1734;1451;982;604;466
01/12/21;ES04;1-;117;66;72;34;58;257;1010;1164;1176;1175;1006;940
01/12/21;ES04;1=;1036;975;974;1013;1004;972;1041;990;1065;744;464;253
01/12/21;ES04;2-;129;85;43;52;33;138;443;807;715;683;561;690
01/12/21;ES04;2=;747;771;941;922;810;835;959;970;801;635;328;256
01/12/21;ES05;1-;838;469;484;324;241;301;685;1278;1898;2119;2159;2376
01/12/21;ES05;1=;2535;2734;3516;3463;3221;3339;3236;3127;3197;2705;1937;2049
01/12/21;ES05;2-;179;110;105;113;157;1098;1862;2231;2216;2115;2008;1280
01/12/21;ES05;2=;1476;1579;1462;1952;1979;1529;1585;1505;1320;991;832;538
01/12/21;ES06;1-;49;18;29;18;56;210;863;1013;880;660;750;748
01/12/21;ES06;1=;724;900;755;836;928;1040;1039;813;442;235;193;105
01/12/21;ES06;2-;53;26;29;16;33;149;507;1015;849;639;701;783
01/12/21;ES06;2=;730;926;887;850;1035;1035;998;661;403;236;235;123
01/12/21;ES07;1-;867;393;261;161;155;201;798;1903;2635;2143;1816;1989
01/12/21;ES07;1=;2302;2700;3356;3718;3293;3292;3826;3751;3275;2576;1831;1049
01/12/21;ES07;2-;379;173;114;108;213;591;2561;5020;4165;2559;2225;2058
01/12/21;ES07;2=;2024;2197;2489;2188;2136;2184;2348;2272;2106;1639;1014;704
01/12/21;ES08;1-;544;429;314;244;217;289;376;660;789;837;890;882
01/12/21;ES08;1=;778;687;833;700;802;820;761;732;804;771;702;648
01/12/21;ES08;2-;608;260;305;251;225;252;381;743;944;846;931;847
01/12/21;ES08;2=;746;662;961;951;913;859;842;878;879;887;825;703
01/12/21;ES09;1-;401;322;270;226;200;204;328;576;720;855;903;882
