FDIA;FEST;FSEN;HOR1;HOR2;HOR3;HOR4;HOR5;HOR6;HOR7;HOR8;HOR9;HOR10;HOR11;HOR12
01/01/2021;ES01;1-;643;87;31;28;24;118;98;83;95;128;235;390
01/01/2021;ES01;1=;642;611;332;470;555;969;1633;1510;948;570;472;155
01/01/2021;ES01;2-;606;123;48;37;28;89;106;74;97;121;255;454
01/01/2021;ES01;2=;511;542;340;399;656;1242;1360;1026;660;381;343;190
01/01/2021;ES02;1-;161;490;193;81;46;56;77;124;132;115;145;191
01/01/2021;ES02;1=;265;400;370;315;363;399;546;0;643;459;372;301
01/01/2021;ES02;2-;264;134;71;62;61;165;555;1253;1197;1084;990;1058
01/01/2021;ES02;2=;1042;372;919;888;917;1063;1036;1131;1131;1091;853;589
01/01/2021;ES03;1-;391;1076;184;77;77;57;110;305;199;189;243;355
01/01/2021;ES03;1=;497;765;958;473;385;562;704;0;665;694;429;273
01/01/2021;ES03;2-;197;666;120;52;47;35;62;166;199;121;130;194
01/01/2021;ES03;2=;272;454;661;373;268;317;458;0;464;479;358;223
01/01/2021;ES04;1-;187;700;144;70;49;46;100;114;103;93;128;173
01/01/2021;ES04;1=;267;511;637;304;265;393;520;0;512;411;248;193
01/01/2021;ES04;2-;108;498;73;28;32;32;57;101;82;64;90;143
01/01/2021;ES04;2=;228;316;352;176;159;182;220;0;282;259;165;128
01/01/2021;ES05;1-;523;1444;553;255;132;152;256;362;299;291;373;455
01/01/2021;ES05;1=;737;998;1114;801;829;1008;1212;0;1582;1335;1062;994
01/01/2021;ES05;2-;434;1438;244;120;81;103;334;270;215;206;281;387
01/01/2021;ES05;2=;575;871;1099;570;640;999;1392;0;1120;785;517;383
01/01/2021;ES06;1-;380;39;10;10;13;65;65;45;56;97;124;238
01/01/2021;ES06;1=;335;316;167;199;235;302;321;277;216;164;126;56
01/01/2021;ES06;2-;369;44;26;12;15;56;54;45;50;95;129;241
01/01/2021;ES06;2=;304;348;169;178;256;328;303;244;194;159;118;65
01/01/2021;ES07;1-;900;2333;2004;968;573;450;576;652;448;377;454;661
01/01/2021;ES07;1=;1126;1995;2194;1095;970;1611;2126;2168;1914;1530;1059;683
01/01/2021;ES07;2-;1153;2343;1705;959;538;458;669;656;434;464;554;726
01/01/2021;ES07;2=;1132;1815;1773;861;1185;1741;2162;2025;1793;1455;1017;620
01/01/2021;ES08;1-;267;128;85;84;74;50;173;408;623;695;922;872
01/01/2021;ES08;1=;881;775;694;683;796;788;788;734;736;722;480;473
01/01/2021;ES08;2-;53;12;7;12;11;12;27;58;518;837;907;852
01/01/2021;ES08;2=;845;723;732;665;785;892;489;431;675;684;360;212
01/01/2021;ES09;1-;256;510;399;136;128;120;118;105;156;151;190;254
01/01/2021;ES09;1=;318;397;410;395;378;473;470;501;567;491;412;369
01/01/2021;ES09;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2021;ES09;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2021;ES10;1-;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2021;ES10;1=;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2021;ES10;2-;420;456;169;69;74;56;86;129;104;109;180;254
01/01/2021;ES10;2=;326;441;394;312;343;458;502;500;410;296;282;231
01/01/2021;ES11;1-;1787;0;2146;158;65;37;111;608;712;414;527;779
01/01/2021;ES11;1=;1251;1984;2844;2353;971;1208;1913;2556;2407;1923;1439;818
01/01/2021;ES11;2-;535;0;420;6;0;0;2;258;438;376;295;38
01/01/2021;ES11;2=;62;216;412;394;142;186;850;1123;439;239;145;63
01/01/2021;ES12;1-;1290;254;95;71;78;233;255;218;219;298;495;892
01/01/2021;ES12;1=;1450;1408;722;802;1222;1581;1586;1434;1030;809;783;353
01/01/2021;ES12;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2021;ES12;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2021;ES13;1-;813;191;82;56;81;134;146;111;120;168;294;429
01/01/2021;ES13;1=;625;618;342;460;633;741;916;889;555;385;335;197
01/01/2021;ES13;2-;812;290;110;55;72;144;152;132;148;195;287;420
01/01/2021;ES13;2=;689;678;454;449;624;880;1041;897;713;525;486;241
01/01/2021;ES14;1-;126;27;12;5;7;20;21;22;26;42;55;93
01/01/2021;ES14;1=;140;136;70;84;92;125;150;147;91;60;63;21
01/01/2021;ES14;2-;100;19;13;8;6;1;13;17;24;22;48;66
01/01/2021;ES14;2=;102;110;58;53;72;89;156;118;95;59;35;20
01/01/2021;ES15;1-;264;28;19;8;17;33;89;48;59;71;131;220
01/01/2021;ES15;1=;372;342;137;140;200;266;259;236;213;133;117;51
01/01/2021;ES15;2-;267;26;16;7;5;25;42;38;46;48;76;163
01/01/2021;ES15;2=;295;326;120;141;213;308;275;218;161;118;96;31
01/01/2021;ES16;1-;726;184;61;42;45;116;132;124;132;198;326;536
01/01/2021;ES16;1=;696;694;376;459;618;689;854;782;584;425;426;203
01/01/2021;ES16;2-;623;147;62;41;52;127;113;96;108;143;235;388
01/01/2021;ES16;2=;565;570;324;351;527;763;780;694;463;311;231;133
01/01/2021;ES17;1-;1703;214;70;59;75;244;268;196;234;353;550;969
01/01/2021;ES17;1=;1674;1573;739;892;1436;1991;1904;1599;1063;718;609;249
01/01/2021;ES17;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2021;ES17;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2021;ES18;1-;284;62;26;20;19;36;48;45;65;75;163;246
01/01/2021;ES18;1=;364;333;167;207;216;325;352;259;180;127;112;47
01/01/2021;ES18;2-;399;72;25;12;14;26;43;51;70;84;187;300
01/01/2021;ES18;2=;395;374;224;242;305;397;428;395;308;160;176;61
01/01/2021;ES19;1-;457;171;58;64;49;81;80;95;86;127;207;305
01/01/2021;ES19;1=;445;412;246;271;352;496;475;426;313;229;202;132
01/01/2021;ES19;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2021;ES19;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2021;ES20;1-;4009;0;4920;594;220;177;226;813;1055;892;812;1073
01/01/2021;ES20;1=;1956;3129;4806;4602;2584;2922;4094;5239;4895;3802;2985;2466
01/01/2021;ES20;2-;4915;0;6085;540;263;233;421;1737;1712;1099;1124;1578
01/01/2021;ES20;2=;2621;4293;6602;6047;2939;3398;4976;6681;6478;5159;4005;2739
01/01/2021;ES21;1-;554;53;22;20;19;52;52;52;85;108;196;312
01/01/2021;ES21;1=;445;466;215;288;316;413;450;434;325;203;194;94
01/01/2021;ES21;2-;602;75;29;18;32;86;83;83;107;133;274;372
01/01/2021;ES21;2=;623;607;252;285;435;621;622;514;343;206;178;77
01/01/2021;ES22;1-;249;754;206;80;73;72;92;148;121;128;177;239
01/01/2021;ES22;1=;360;536;581;366;315;426;652;0;644;496;365;258
01/01/2021;ES22;2-;271;952;281;114;88;70;108;148;135;130;171;236
01/01/2021;ES22;2=;339;512;582;419;387;500;680;0;764;600;485;369
01/01/2021;ES23;1-;465;1194;416;196;124;123;302;263;216;269;282;444
01/01/2021;ES23;1=;607;791;898;540;591;861;1432;0;1814;1224;764;528
01/01/2021;ES23;2-;478;1006;611;297;163;191;264;301;242;214;312;373
01/01/2021;ES23;2=;539;758;797;613;664;801;1044;0;1500;1427;1064;798
01/01/2021;ES24;1-;111;268;93;32;24;47;42;53;47;42;78;101
01/01/2021;ES24;1=;161;226;247;156;158;191;214;0;299;252;183;132
01/01/2021;ES24;2-;85;192;99;50;40;39;37;56;58;58;73;113
01/01/2021;ES24;2=;156;176;177;145;130;176;262;0;244;162;105;103
01/01/2021;ES25;1-;41;82;79;46;30;25;29;33;26;38;40;46
01/01/2021;ES25;1=;77;78;103;99;91;96;122;0;104;117;98;83
01/01/2021;ES25;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2021;ES25;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/01/2021;ES26;1-;121;232;147;92;61;58;70;69;81;86;74;76
01/01/2021;ES26;1=;116;121;152;140;145;134;228;0;209;200;149;123
01/01/2021;ES26;2-;117;246;166;73;58;59;57;66;72;70;88;88
01/01/2021;ES26;2=;115;157;210;165;168;192;202;0;278;229;201;162
01/01/2021;ES27;1-;442;1104;545;224;155;185;258;232;263;227;310;379
01/01/2021;ES27;1=;625;805;901;741;681;939;1156;0;1592;1463;930;632
01/01/2021;ES27;2-;570;265;106;89;128;149;144;568;129;150;215;348
01/01/2021;ES27;2=;446;474;340;386;511;1066;1455;1397;972;634;474;198
01/01/2021;ES28;1-;405;52;22;24;25;75;69;61;68;107;169;278
01/01/2021;ES28;1=;430;336;228;229;340;406;376;390;311;195;197;94
