FDIA;FEST;FSEN;HOR1;HOR2;HOR3;HOR4;HOR5;HOR6;HOR7;HOR8;HOR9;HOR10;HOR11;HOR12;
01/01/2022;ES01;1-;1107;588;303;235;194;275;242;137;137;172;237;383;
01/01/2022;ES01;1=;613;641;394;412;614;922;1266;1587;958;729;526;342;
01/01/2022;ES01;2-;832;553;329;273;251;371;317;155;158;184;334;520;
01/01/2022;ES01;2=;532;509;412;566;791;1180;1287;1004;615;551;341;298;
01/01/2022;ES02;1-;200;410;391;300;221;201;182;155;132;124;152;194;
01/01/2022;ES02;1=;302;330;360;294;302;432;586;407;418;449;366;272;
01/01/2022;ES02;2-;466;893;795;645;457;389;453;364;245;243;279;391;
01/01/2022;ES02;2=;529;635;702;530;579;768;918;1058;1121;1010;819;634;
01/01/2022;ES03;1-;335;918;578;279;208;140;174;376;241;273;359;451;
01/01/2022;ES03;1=;635;778;950;535;442;617;782;929;799;723;450;301;
01/01/2022;ES03;2-;163;525;410;199;129;104;122;185;219;162;219;283;
01/01/2022;ES03;2=;385;536;634;445;312;402;473;616;540;474;368;236;
01/01/2022;ES04;1-;215;729;441;241;144;122;135;179;117;102;139;198;
01/01/2022;ES04;1=;265;472;641;312;249;445;563;620;476;411;296;178;
01/01/2022;ES04;2-;102;382;289;110;79;75;76;117;90;75;122;144;
01/01/2022;ES04;2=;238;319;366;175;139;193;274;283;237;254;141;110;
01/01/2022;ES05;1-;598;1318;1201;888;694;622;665;728;513;443;460;614;
01/01/2022;ES05;1=;881;1128;1191;968;979;1299;1422;1630;1824;1710;1413;1320;
01/01/2022;ES05;2-;449;1076;817;401;292;254;393;349;238;285;308;423;
01/01/2022;ES05;2=;615;840;962;653;623;1032;1456;1505;1240;793;648;471;
01/01/2022;ES06;1-;381;207;108;63;49;89;96;67;72;86;146;199;
01/01/2022;ES06;1=;342;345;180;179;223;304;316;278;234;155;136;64;
01/01/2022;ES06;2-;391;250;106;72;59;72;79;73;81;116;147;200;
01/01/2022;ES06;2=;308;314;172;193;253;276;298;288;180;142;131;75;
01/01/2022;ES07;1-;636;1489;971;479;268;261;409;491;372;345;438;670;
01/01/2022;ES07;1=;1029;1500;1603;784;809;1172;1616;1559;1385;1191;965;649;
01/01/2022;ES07;2-;1038;1886;1051;452;257;302;610;590;362;427;559;824;
01/01/2022;ES07;2=;1140;1760;1490;809;1048;1691;2249;1996;1512;1139;787;470;
01/01/2022;ES08;1-;535;703;744;767;592;547;376;324;239;250;283;367;
01/01/2022;ES08;1=;475;545;543;535;582;674;804;774;795;795;667;631;
01/01/2022;ES08;2-;491;703;826;754;645;588;478;398;326;256;324;406;
01/01/2022;ES08;2=;536;575;538;599;569;630;713;842;798;795;751;647;
01/01/2022;ES09;1-;365;584;623;609;577;530;409;303;234;252;268;373;
01/01/2022;ES09;1=;456;471;550;539;534;625;649;707;623;616;571;542;
01/01/2022;ES09;2-;0;0;0;0;0;0;0;0;0;0;0;0;
01/01/2022;ES09;2=;0;0;0;0;0;0;0;0;0;0;0;0;
01/01/2022;ES10;1-;0;0;0;0;0;0;0;0;0;0;0;0;
01/01/2022;ES10;1=;0;0;0;0;0;0;0;0;0;0;0;0;
01/01/2022;ES10;2-;300;516;351;233;175;176;161;152;120;100;145;202;
01/01/2022;ES10;2=;289;374;377;306;318;397;419;445;420;326;304;241;
