FDIA;FEST;FSEN;HOR1;HOR2;HOR3;HOR4;HOR5;HOR6;HOR7;HOR8;HOR9;HOR10;HOR11;HOR12
01/02/2021;ES01;1-;15;17;6;17;91;588;1725;2387;2019;1466;1491;1407
01/02/2021;ES01;1=;1672;2066;1440;1274;1277;1400;1560;1157;725;196;78;30
01/02/2021;ES01;2-;22;13;15;24;57;292;664;1212;1296;1031;1171;1197
01/02/2021;ES01;2=;1247;1324;1223;1104;1141;1270;1058;795;616;227;106;48
01/02/2021;ES02;1-;68;81;46;53;43;54;143;584;874;991;992;895
01/02/2021;ES02;1=;817;860;815;676;657;704;780;794;647;661;367;143
01/02/2021;ES02;2-;91;71;51;46;56;134;588;1222;1219;1178;1105;876
01/02/2021;ES02;2=;723;924;929;950;964;956;1081;1047;950;857;615;350
01/02/2021;ES03;1-;101;53;71;54;54;96;345;1614;2300;2153;1598;1492
01/02/2021;ES03;1=;1451;1276;1528;1560;1429;1488;1343;1094;943;928;367;150
01/02/2021;ES03;2-;87;47;45;23;47;63;98;317;844;975;1002;1164
01/02/2021;ES03;2=;1223;1190;1422;1396;865;986;1125;1099;898;636;355;115
01/02/2021;ES04;1-;60;63;50;46;41;90;258;901;1097;1114;843;886
01/02/2021;ES04;1=;829;903;888;925;908;901;916;823;684;578;235;78
01/02/2021;ES04;2-;36;43;24;27;18;33;97;293;597;575;588;570
01/02/2021;ES04;2=;607;656;841;799;567;621;645;661;560;474;157;62
01/02/2021;ES05;1-;217;162;118;102;116;166;470;1045;1759;2002;1915;2094
01/02/2021;ES05;1=;2383;2641;3091;3216;2422;2619;2960;2771;2439;1990;1044;497
01/02/2021;ES05;2-;99;58;58;54;70;204;1005;2028;2253;2222;1883;1627
01/02/2021;ES05;2=;1583;1613;1717;1870;1726;1611;1609;1476;1168;1023;454;213
01/02/2021;ES06;1-;9;12;9;23;50;178;662;853;759;650;655;671
01/02/2021;ES06;1=;674;766;758;787;714;730;614;467;325;119;40;15
01/02/2021;ES06;2-;14;9;13;7;29;139;461;894;770;621;661;699
01/02/2021;ES06;2=;707;783;679;765;830;780;621;450;303;107;49;18
01/02/2021;ES07;1-;80;28;31;25;38;108;662;1806;2142;1846;1472;1663
01/02/2021;ES07;1=;1906;2335;3548;3544;2280;2607;2937;2460;2040;1831;839;312
01/02/2021;ES07;2-;74;32;31;48;92;565;2935;4272;3489;3139;2149;1959
01/02/2021;ES07;2=;2029;2131;2992;2487;2106;2093;1991;1623;1511;1357;439;157
01/02/2021;ES08;1-;102;86;65;73;63;107;177;410;679;805;871;850
01/02/2021;ES08;1=;881;771;836;759;774;782;767;736;697;646;432;185
01/02/2021;ES08;2-;107;90;74;77;52;88;201;446;664;732;778;742
01/02/2021;ES08;2=;796;815;850;724;719;747;786;762;727;674;474;199
01/02/2021;ES09;1-;142;89;80;63;75;107;201;411;627;758;740;798
01/02/2021;ES09;1=;807;744;707;692;684;684;697;688;642;544;378;162
01/02/2021;ES09;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/02/2021;ES09;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/02/2021;ES10;1-;0;0;0;0;0;0;0;0;0;0;0;0
01/02/2021;ES10;1=;0;0;0;0;0;0;0;0;0;0;0;0
01/02/2021;ES10;2-;32;32;45;47;62;140;389;659;717;650;608;589
01/02/2021;ES10;2=;588;669;690;676;638;663;704;658;546;523;181;86
01/02/2021;ES11;1-;481;0;33;31;34;102;557;3837;6245;5985;5373;3719
01/02/2021;ES11;1=;3242;3294;3584;5194;4431;3403;3271;3353;2678;2392;1842;624
01/02/2021;ES11;2-;337;111;71;60;48;98;259;1239;3323;4356;3925;2836
01/02/2021;ES11;2=;2094;3394;4103;5082;4215;1357;4027;3799;3919;3156;2731;935
01/02/2021;ES12;1-;48;44;41;45;152;825;1863;1704;1944;1680;1627;1585
01/02/2021;ES12;1=;1430;1352;1578;1622;1435;1489;1569;1634;1413;511;148;104
01/02/2021;ES12;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/02/2021;ES12;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/02/2021;ES13;1-;36;36;22;41;86;360;1077;1448;1456;1347;1357;1297
01/02/2021;ES13;1=;1330;1426;1342;1301;1253;1312;1265;1051;745;279;86;68
01/02/2021;ES13;2-;46;33;26;41;86;374;973;1639;1590;1564;1539;1635
01/02/2021;ES13;2=;1666;1737;1497;1383;1452;1509;1512;1211;929;374;134;66
01/02/2021;ES14;1-;4;10;4;3;11;53;206;493;460;369;381;408
01/02/2021;ES14;1=;415;382;319;383;370;361;328;243;181;51;20;13
01/02/2021;ES14;2-;5;7;1;4;5;22;113;248;297;285;312;342
01/02/2021;ES14;2=;342;357;232;311;301;295;279;201;138;48;22;15
01/02/2021;ES15;1-;19;12;6;9;38;208;711;937;837;705;677;688
01/02/2021;ES15;1=;657;838;797;730;666;592;618;496;356;112;32;12
01/02/2021;ES15;2-;13;4;13;5;27;124;466;923;833;622;612;647
01/02/2021;ES15;2=;677;710;706;640;687;646;523;417;273;94;44;12
01/02/2021;ES16;1-;35;33;29;33;52;288;961;1293;1342;1247;1328;1390
01/02/2021;ES16;1=;1444;1596;1361;1371;1333;1414;1434;1250;896;320;101;61
01/02/2021;ES16;2-;45;21;30;34;66;362;1148;1506;1592;1363;1249;1228
01/02/2021;ES16;2=;1252;1190;1097;1126;1182;1174;1050;802;611;252;76;32
01/02/2021;ES17;1-;34;38;30;53;170;1003;2583;2988;2898;2541;2425;2322
01/02/2021;ES17;1=;2221;2390;2321;2287;2296;2224;1991;1736;1394;442;125;86
01/02/2021;ES17;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/02/2021;ES17;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/02/2021;ES18;1-;26;14;12;10;34;233;954;1138;1008;772;717;690
01/02/2021;ES18;1=;563;602;629;708;604;585;490;369;255;103;33;17
01/02/2021;ES18;2-;17;15;3;10;15;57;262;584;591;618;686;751
01/02/2021;ES18;2=;862;1038;750;630;765;832;851;678;438;141;42;18
01/02/2021;ES19;1-;35;21;24;28;57;224;470;852;1020;848;838;863
01/02/2021;ES19;1=;851;925;817;808;812;866;754;650;490;215;92;46
01/02/2021;ES19;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/02/2021;ES19;2=;0;0;0;0;0;0;0;0;0;0;0;0
