FDIA;FEST;FSEN;HOR1;HOR2;HOR3;HOR4;HOR5;HOR6;HOR7;HOR8;HOR9;HOR10;HOR11;HOR12;
01/02/2022;ES01;1-;114;62;33;46;97;676;1859;2425;2242;1764;1812;1884;
01/02/2022;ES01;1=;2044;2241;1593;1739;1662;1845;1929;1705;1043;596;554;348;
01/02/2022;ES01;2-;135;87;66;41;129;303;728;1332;1468;1146;1198;1284;
01/02/2022;ES01;2=;1211;1246;1177;1175;1268;1320;1239;1039;708;472;412;305;
01/02/2022;ES02;1-;183;113;91;69;77;92;124;1062;1261;1220;1126;1109;
01/02/2022;ES02;1=;1095;1038;979;954;1059;1076;1041;968;818;680;520;268;
01/02/2022;ES02;2-;359;207;167;153;149;205;542;1108;1329;1251;1166;1092;
01/02/2022;ES02;2=;1112;1087;1152;1026;817;694;1133;1090;947;808;683;550;
01/02/2022;ES03;1-;190;99;108;75;82;145;415;1897;2566;2245;1777;1806;
01/02/2022;ES03;1=;1596;1481;1612;1618;1535;1691;1599;1552;1449;1104;633;423;
01/02/2022;ES03;2-;164;76;55;51;40;58;117;313;858;1032;1076;296;
01/02/2022;ES03;2=;1475;1392;1490;1748;1112;1290;1529;1504;1369;861;490;463;
01/02/2022;ES04;1-;145;55;71;69;52;81;277;1055;1220;1197;837;898;
01/02/2022;ES04;1=;892;912;947;934;957;1007;1034;1048;951;749;466;283;
01/02/2022;ES04;2-;107;64;51;41;22;34;109;298;663;635;615;673;
01/02/2022;ES04;2=;642;711;850;826;650;696;891;871;748;505;274;187;
01/02/2022;ES05;1-;840;452;321;252;185;271;620;1179;1930;2088;2038;2188;
01/02/2022;ES05;1=;2604;2725;3324;3201;2721;3105;3329;3300;2746;2180;1598;1323;
01/02/2022;ES05;2-;268;146;106;87;113;240;1149;1927;2097;1992;1820;1586;
01/02/2022;ES05;2=;1498;1589;1582;1535;1591;1527;1564;1626;1419;1136;800;480;
01/02/2022;ES06;1-;27;21;20;32;54;179;708;951;778;658;667;683;
01/02/2022;ES06;1=;714;756;700;801;853;912;772;610;377;203;154;70;
01/02/2022;ES06;2-;27;20;19;29;27;122;439;921;772;662;672;616;
01/02/2022;ES06;2=;709;764;731;785;898;941;800;592;363;222;145;87;
01/02/2022;ES07;1-;372;181;104;81;71;149;679;1845;2523;2032;1723;1819;
01/02/2022;ES07;1=;2049;2450;3685;3573;2643;3189;3463;3294;2453;1903;1296;730;
01/02/2022;ES07;2-;235;97;65;64;146;593;3438;4478;3660;3306;2541;2308;
01/02/2022;ES07;2=;2216;2435;2890;2781;2364;2465;2520;2228;1983;1544;866;445;
01/02/2022;ES08;1-;444;308;228;218;187;242;369;561;747;882;888;960;
01/02/2022;ES08;1=;894;844;821;794;812;716;933;660;780;712;641;547;
01/02/2022;ES08;2-;385;345;246;212;183;265;346;629;896;964;878;985;
01/02/2022;ES08;2=;1027;1002;1027;916;898;586;25;701;840;757;652;592;
01/02/2022;ES09;1-;363;262;208;183;178;235;365;529;777;903;931;848;
01/02/2022;ES09;1=;776;936;954;873;837;860;766;857;786;700;634;510;
01/02/2022;ES09;2-;0;0;0;0;0;0;0;0;0;0;0;0;
01/02/2022;ES09;2=;0;0;0;0;0;0;0;0;0;0;0;0;
01/02/2022;ES10;1-;0;0;0;0;0;0;0;0;0;0;0;0;
01/02/2022;ES10;1=;0;0;0;0;0;0;0;0;0;0;0;0;
01/02/2022;ES10;2-;146;65;56;48;74;167;380;579;636;593;501;514;
01/02/2022;ES10;2=;545;594;614;603;556;627;586;591;549;437;325;228;
01/02/2022;ES11;1-;596;323;107;61;58;124;647;4201;6787;5873;5680;3807;
01/02/2022;ES11;1=;3468;3512;3879;5042;4426;3756;3898;3933;3707;3116;2138;1232;
01/02/2022;ES11;2-;1278;0;189;124;104;115;92;160;792;1282;1856;3233;
01/02/2022;ES11;2=;3497;3144;2888;4705;4862;3134;3262;3236;3990;4030;2922;2106;
01/02/2022;ES12;1-;236;148;132;152;311;1111;1893;1622;1739;1976;1833;1817;
01/02/2022;ES12;1=;1574;1549;1898;1875;1751;1461;1396;1576;1649;1281;864;596;
01/02/2022;ES12;2-;0;0;0;0;0;0;0;0;0;0;0;0;
01/02/2022;ES12;2=;0;0;0;0;0;0;0;0;0;0;0;0;
01/02/2022;ES13;1-;171;91;86;82;138;405;1153;1495;1582;1324;1454;1371;
01/02/2022;ES13;1=;1439;1471;1268;1394;1412;1426;1399;1302;964;635;658;399;
01/02/2022;ES13;2-;194;132;114;103;167;398;1115;1740;1788;1576;1757;1778;
01/02/2022;ES13;2=;1853;1945;1645;1698;1733;2020;1847;1674;1142;810;665;492;
01/02/2022;ES14;1-;14;14;17;14;13;66;202;527;506;387;432;435;
01/02/2022;ES14;1=;427;373;322;351;347;342;374;317;261;139;121;65;
01/02/2022;ES14;2-;13;5;16;7;5;30;79;247;256;271;306;330;
01/02/2022;ES14;2=;332;361;234;278;234;307;314;270;205;100;66;39;
01/02/2022;ES15;1-;29;27;22;26;37;224;877;1111;875;758;666;686;
01/02/2022;ES15;1=;740;897;801;697;771;839;802;592;413;247;183;108;
01/02/2022;ES15;2-;27;12;14;11;36;134;516;917;1002;753;667;682;
01/02/2022;ES15;2=;730;875;745;680;750;793;658;508;358;196;118;22;
01/02/2022;ES16;1-;222;102;69;68;101;319;992;1295;1323;1248;1410;1499;
01/02/2022;ES16;1=;1596;1643;1497;1546;1583;1600;1516;1422;1062;722;700;467;
01/02/2022;ES16;2-;105;82;66;61;130;461;1364;1608;1575;1517;1503;1419;
01/02/2022;ES16;2=;1349;1321;1266;1329;1383;1456;1347;1178;841;545;363;262;
01/02/2022;ES17;1-;189;133;87;128;274;1323;2866;3225;2946;2829;2685;2676;
01/02/2022;ES17;1=;2494;2518;2398;2460;2644;2632;2530;2315;1878;1245;717;404;
01/02/2022;ES17;2-;0;0;0;0;0;0;0;0;0;0;0;0;
01/02/2022;ES17;2=;0;0;0;0;0;0;0;0;0;0;0;0;
01/02/2022;ES18;1-;38;17;19;19;44;216;955;1305;1044;863;814;716;
01/02/2022;ES18;1=;667;628;628;662;716;600;584;448;307;195;169;88;
01/02/2022;ES18;2-;51;37;23;11;25;79;231;571;623;698;764;801;
01/02/2022;ES18;2=;907;1046;956;754;898;1124;1111;918;544;324;216;145;
01/02/2022;ES19;1-;108;89;63;74;89;210;528;845;1000;886;883;970;
01/02/2022;ES19;1=;920;952;862;834;916;976;928;705;553;400;238;227;
