FDIA;FEST;FSEN;HOR1;HOR2;HOR3;HOR4;HOR5;HOR6;HOR7;HOR8;HOR9;HOR10;HOR11;HOR12
01/07/2021;ES01;1-;348;150;120;65;122;663;1790;2364;2226;1972;1958;1989
01/07/2021;ES01;1=;2189;2312;1775;1456;1629;1823;1758;1832;1235;775;843;822
01/07/2021;ES01;2-;293;151;161;78;90;337;798;1397;1546;1386;1450;1490
01/07/2021;ES01;2=;1395;1471;1535;1465;1575;1711;1555;1462;1106;731;655;600
01/07/2021;ES02;1-;485;324;200;151;86;74;176;500;628;630;525;646
01/07/2021;ES02;1=;688;631;620;524;652;612;588;616;680;669;601;517
01/07/2021;ES02;2-;522;351;237;181;163;188;489;984;1124;1150;1063;1051
01/07/2021;ES02;2=;1034;1035;1096;995;989;1032;945;999;996;1013;835;722
01/07/2021;ES03;1-;368;214;129;108;88;152;374;1568;2097;2089;2181;1973
01/07/2021;ES03;1=;2077;1775;1996;1921;1701;1875;1863;1827;1638;1375;863;525
01/07/2021;ES03;2-;361;209;113;78;56;81;157;440;962;1028;1234;1401
01/07/2021;ES03;2=;1555;1764;1857;1849;1430;1456;1711;1771;1517;1185;811;480
01/07/2021;ES04;1-;292;158;90;77;55;64;264;955;1078;1117;837;843
01/07/2021;ES04;1=;917;749;853;972;919;895;931;973;988;856;558;366
01/07/2021;ES04;2-;200;88;62;42;51;40;92;279;557;582;563;685
01/07/2021;ES04;2=;687;799;913;928;753;737;897;832;722;547;338;186
01/07/2021;ES05;1-;1436;935;515;432;299;262;616;1177;1699;1951;2182;2327
01/07/2021;ES05;1=;2568;2919;3435;3550;2974;3247;3450;3514;3003;2520;1891;1649
01/07/2021;ES05;2-;690;360;248;180;146;346;1319;2481;2509;2453;2331;2243
01/07/2021;ES05;2=;2077;2118;2214;2112;2072;2163;2091;2134;2116;1711;1158;882
01/07/2021;ES06;1-;101;48;33;27;62;252;1015;1162;1001;867;884;888
01/07/2021;ES06;1=;871;941;988;898;910;949;928;779;671;458;363;226
01/07/2021;ES06;2-;98;33;36;26;36;121;458;728;674;689;809;735
01/07/2021;ES06;2=;760;860;961;719;721;869;748;633;487;307;213;189
01/07/2021;ES07;1-;754;370;206;161;115;245;856;2121;2899;2431;1934;2229
01/07/2021;ES07;1=;2517;2972;4082;3849;3381;3630;4278;3693;3309;2590;1729;1183
01/07/2021;ES07;2-;427;168;112;113;182;586;4311;5401;4375;3915;2905;2660
01/07/2021;ES07;2=;2502;2683;3382;3080;2800;2901;3147;2952;2649;2076;1232;759
01/07/2021;ES08;1-;703;649;459;397;299;257;329;584;732;954;915;807
01/07/2021;ES08;1=;879;859;925;847;888;958;943;858;894;880;781;781
01/07/2021;ES08;2-;608;529;378;299;246;234;323;583;850;805;887;898
01/07/2021;ES08;2=;979;920;1022;932;844;924;920;846;915;915;833;739
01/07/2021;ES09;1-;469;367;282;171;147;193;295;466;642;719;884;838
01/07/2021;ES09;1=;910;924;925;875;824;806;811;865;831;837;687;564
01/07/2021;ES09;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/07/2021;ES09;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/07/2021;ES10;1-;0;0;0;0;0;0;0;0;0;0;0;0
01/07/2021;ES10;1=;0;0;0;0;0;0;0;0;0;0;0;0
01/07/2021;ES10;2-;209;100;50;93;91;168;426;677;576;594;571;622
01/07/2021;ES10;2=;567;629;618;618;598;676;677;704;665;570;479;318
01/07/2021;ES11;1-;935;515;200;25;74;114;671;4251;6527;6298;6036;4683
01/07/2021;ES11;1=;4177;4008;4528;6056;4633;4005;4066;4302;3982;3612;2391;1666
01/07/2021;ES11;2-;504;0;116;75;67;97;219;1084;2917;3653;3207;2394
01/07/2021;ES11;2=;1943;1714;1276;2028;1946;1260;1683;1857;1744;2832;2456;2312
01/07/2021;ES12;1-;555;307;297;178;287;931;1747;1485;1669;1749;1429;1598
01/07/2021;ES12;1=;990;745;820;1410;1632;1351;1473;1675;1786;1547;1343;1343
01/07/2021;ES12;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/07/2021;ES12;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/07/2021;ES13;1-;337;160;137;91;132;368;1050;1391;1553;1525;1458;1496
01/07/2021;ES13;1=;1540;1598;1462;1507;1562;1508;1598;1519;1226;807;776;726
01/07/2021;ES13;2-;443;254;183;128;155;392;1085;1631;1737;1721;1753;1781
01/07/2021;ES13;2=;1941;2019;1859;1701;1689;1824;1695;1720;1335;968;970;796
01/07/2021;ES14;1-;58;6;11;14;20;67;201;430;417;422;376;435
01/07/2021;ES14;1=;427;406;330;403;394;404;332;286;275;176;155;123
01/07/2021;ES14;2-;34;20;9;3;7;30;86;198;278;309;325;342
01/07/2021;ES14;2=;438;392;314;295;293;295;311;286;213;151;109;102
01/07/2021;ES15;1-;91;35;23;30;40;210;764;945;818;757;812;728
01/07/2021;ES15;1=;791;972;887;739;797;794;842;673;568;337;252;191
01/07/2021;ES15;2-;81;15;23;16;33;125;488;969;1130;859;727;706
01/07/2021;ES15;2=;781;887;715;641;605;729;694;556;438;217;175;195
01/07/2021;ES16;1-;343;173;120;83;99;289;912;1265;1331;1407;1547;1640
01/07/2021;ES16;1=;1682;1635;1622;1641;1658;1591;1553;1647;1179;864;821;762
01/07/2021;ES16;2-;263;170;101;105;130;397;1267;1637;1512;1562;1493;1473
01/07/2021;ES16;2=;1509;1497;1394;1375;1387;1416;1349;1434;1056;653;573;499
01/07/2021;ES17;1-;405;232;219;147;254;1108;2804;3062;3059;2787;2776;2735
01/07/2021;ES17;1=;2646;2647;2612;2513;2632;2651;2705;2655;2175;1511;1172;1086
01/07/2021;ES17;2-;0;0;0;0;0;0;0;0;0;0;0;0
