FDIA;FEST;FSEN;HOR1;HOR2;HOR3;HOR4;HOR5;HOR6;HOR7;HOR8;HOR9;HOR10;HOR11;HOR12;
01/07/2023;ES01;1-;635;380;364;266;386;788;1598;1833;1721;1544;1754;1806;
01/07/2023;ES01;1=;2081;2472;1857;1483;1485;1461;1400;1404;1364;1085;955;1057;
01/07/2023;ES01;2-;409;282;195;146;217;346;714;1173;1263;1184;1223;1177;
01/07/2023;ES01;2=;1230;1417;1186;1081;1082;1035;1122;1195;1053;761;693;653;
01/07/2023;ES02;1-;371;367;305;235;228;174;170;268;457;571;503;521;
01/07/2023;ES02;1=;504;500;403;432;391;436;430;534;540;541;486;416;
01/07/2023;ES02;2-;883;742;514;363;323;350;583;1109;1257;1253;1269;1175;
01/07/2023;ES02;2=;1249;1258;1352;1228;1064;1126;1123;1151;1186;1166;1100;992;
01/07/2023;ES03;1-;321;225;181;120;112;461;372;1303;1558;1534;1338;1332;
01/07/2023;ES03;1=;1246;1195;1302;1246;1054;1083;1148;1124;1077;1030;672;504;
01/07/2023;ES03;2-;318;196;122;103;75;74;134;244;511;649;728;884;
01/07/2023;ES03;2=;946;1005;1050;1059;664;674;675;646;750;668;539;408;
01/07/2023;ES04;1-;508;393;232;137;110;119;252;931;1076;1082;897;894;
01/07/2023;ES04;1=;867;859;957;760;700;633;807;723;695;757;494;325;
01/07/2023;ES04;2-;413;254;127;82;87;60;109;278;466;480;573;550;
01/07/2023;ES04;2=;598;663;918;809;606;603;645;528;496;399;292;238;
01/07/2023;ES05;1-;1803;1261;930;648;451;530;874;1151;1530;1708;1945;2212;
01/07/2023;ES05;1=;2397;2666;3123;3185;2663;2560;2317;2194;2301;2038;1936;1764;
01/07/2023;ES05;2-;607;372;230;181;186;284;934;1750;1891;1808;1577;1534;
01/07/2023;ES05;2=;1479;1524;1551;1451;1380;1413;1448;1486;1631;1467;944;831;
01/07/2023;ES06;1-;89;41;44;35;60;177;591;673;581;590;636;649;
01/07/2023;ES06;1=;700;805;688;517;574;545;507;530;460;283;226;239;
01/07/2023;ES06;2-;114;54;26;35;57;148;370;532;533;532;521;597;
01/07/2023;ES06;2=;619;824;799;513;442;487;518;508;385;265;193;217;
01/07/2023;ES07;1-;507;405;239;151;131;224;703;1524;1622;1574;1576;1965;
01/07/2023;ES07;1=;2092;2736;3773;3614;2608;2378;2368;2123;1937;1642;1392;1045;
01/07/2023;ES07;2-;658;359;217;153;182;682;2863;3769;3189;2520;2168;2022;
01/07/2023;ES07;2=;2001;2216;2579;2167;1800;2040;2013;2230;2248;1860;1424;908;
01/07/2023;ES08;1-;735;726;553;447;406;324;491;573;828;825;884;856;
01/07/2023;ES08;1=;868;843;866;901;844;896;891;850;887;848;758;821;
01/07/2023;ES08;2-;767;740;594;488;453;454;491;727;919;905;870;894;
01/07/2023;ES08;2=;844;895;845;851;800;877;884;883;875;870;893;806;
01/07/2023;ES09;1-;546;472;399;294;290;268;394;514;666;739;702;825;
01/07/2023;ES09;1=;898;822;752;783;759;749;807;868;796;784;727;651;
01/07/2023;ES09;2-;0;0;0;0;0;0;0;0;0;0;0;0;
01/07/2023;ES09;2=;0;0;0;0;0;0;0;0;0;0;0;0;
01/07/2023;ES10;1-;0;0;0;0;0;0;0;0;0;0;0;0;
01/07/2023;ES10;1=;0;0;0;0;0;0;0;0;0;0;0;0;
01/07/2023;ES10;2-;226;133;96;78;99;193;403;555;467;473;434;512;
01/07/2023;ES10;2=;487;529;530;533;489;517;533;512;440;472;363;320;
01/07/2023;ES11;1-;497;333;199;58;58;66;624;3705;5668;4928;3943;3278;
01/07/2023;ES11;1=;3129;3234;3622;4754;4279;3394;3506;3498;3433;3220;2530;1734;
01/07/2023;ES11;2-;1587;1281;885;386;221;201;394;1368;3055;3506;3321;3035;
01/07/2023;ES11;2=;3400;3840;4680;5488;4991;4063;3963;3859;3415;3491;2950;2398;
01/07/2023;ES12;1-;1015;694;433;413;533;1042;1720;1899;1843;1825;1820;1583;
01/07/2023;ES12;1=;1478;1286;1511;1630;1749;1784;1762;1912;1812;1470;1306;1409;
01/07/2023;ES12;2-;0;0;0;0;0;0;0;0;0;0;0;0;
01/07/2023;ES12;2=;0;0;0;0;0;0;0;0;0;0;0;0;
01/07/2023;ES13;1-;584;397;323;268;276;457;1001;1290;1329;1245;1303;1387;
01/07/2023;ES13;1=;1384;1472;1325;1191;1176;1226;1235;1363;1310;1028;862;876;
01/07/2023;ES13;2-;683;465;305;256;268;448;965;1351;1453;1420;1485;1592;
01/07/2023;ES13;2=;1638;1832;1469;1304;1335;1387;1347;1463;1376;1084;1006;1098;
01/07/2023;ES14;1-;42;30;25;24;20;62;113;248;303;295;298;290;
01/07/2023;ES14;1=;302;262;231;246;231;249;236;202;156;129;122;125;
01/07/2023;ES14;2-;51;44;22;17;19;34;66;166;211;219;282;264;
