FDIA;FEST;FSEN;HOR1;HOR2;HOR3;HOR4;HOR5;HOR6;HOR7;HOR8;HOR9;HOR10;HOR11;HOR12
01/06/2021;ES01;1-;136;54;32;28;90;616;1778;2641;2482;1953;1970;1861
01/06/2021;ES01;1=;2151;2318;1600;1560;1573;1732;1721;1477;1013;610;576;367
01/06/2021;ES01;2-;220;163;103;102;75;79;146;451;676;681;577;530
01/06/2021;ES01;2=;603;732;583;584;565;656;608;646;671;617;466;385
01/06/2021;ES02;1-;218;146;85;85;84;121;368;1825;2325;2254;2058;1775
01/06/2021;ES02;1=;1612;1603;1825;1657;1571;1672;1598;1541;1278;1133;689;371
01/06/2021;ES02;2-;157;76;77;62;41;82;243;926;1086;1038;804;775
01/06/2021;ES02;2=;856;790;827;892;879;884;955;926;941;736;419;273
01/06/2021;ES03;1-;780;471;263;176;151;205;498;1180;1812;1918;2024;2280
01/06/2021;ES03;1=;2638;2999;3600;3439;2835;3080;3307;3261;2848;2221;1667;1239
01/06/2021;ES03;2-;51;28;28;26;58;250;1004;1043;953;870;878;869
01/06/2021;ES03;2=;880;868;859;876;921;1002;970;809;556;339;240;137
01/06/2021;ES04;1-;358;180;92;64;58;144;731;1812;2199;1973;1700;1942
01/06/2021;ES04;1=;2181;2820;3891;4067;2785;3073;3441;3126;2631;1994;1430;720
01/06/2021;ES04;2-;425;305;145;111;102;137;236;511;700;862;924;937
01/06/2021;ES04;2=;925;929;881;807;832;893;875;860;841;740;628;583
01/06/2021;ES05;1-;338;211;155;118;94;126;226;438;544;696;982;970
01/06/2021;ES05;1=;918;846;902;760;777;834;813;801;736;665;537;495
01/06/2021;ES05;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/06/2021;ES05;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/06/2021;ES06;1-;1479;0;116;70;67;153;696;4232;6356;5945;5815;4240
01/06/2021;ES06;1=;3848;3789;3866;5541;4617;3791;3873;3917;3667;3131;2361;1376
01/06/2021;ES06;2-;230;110;82;104;247;936;1799;1516;1458;2044;1668;1708
01/06/2021;ES06;2=;1780;928;944;1916;1652;1401;1525;1778;1712;1340;1017;611
01/06/2021;ES07;1-;129;64;63;52;97;357;1091;1509;1610;1534;1499;1518
01/06/2021;ES07;1=;1491;1603;1402;1403;1475;1482;1432;1421;1011;729;575;376
01/06/2021;ES07;2-;29;12;13;26;16;52;201;536;492;409;493;497
01/06/2021;ES07;2=;457;403;408;389;418;403;330;320;238;178;127;87
01/06/2021;ES08;1-;76;45;34;31;51;229;703;1384;1192;793;772;795
01/06/2021;ES08;1=;869;1088;799;702;758;709;963;813;627;290;170;177
01/06/2021;ES08;2-;135;81;56;52;78;262;936;1476;1340;1352;1397;1661
01/06/2021;ES08;2=;1628;1706;1533;1494;1800;1707;1601;1540;1057;744;564;448
01/06/2021;ES09;1-;175;122;77;96;223;1103;2684;3216;3097;2860;2840;2733
01/06/2021;ES09;1=;2627;2742;2490;2588;2695;2754;2511;2550;1916;1349;792;402
01/06/2021;ES09;2-;39;24;25;20;23;202;933;1152;1209;914;859;822
01/06/2021;ES09;2=;713;709;605;661;684;706;645;527;361;227;175;89
01/06/2021;ES10;1-;108;53;46;45;78;207;538;881;1104;1030;976;935
01/06/2021;ES10;1=;925;1075;1033;1318;1062;961;949;768;565;382;308;185
01/06/2021;ES10;2-;5560;0;805;417;400;499;1064;3713;7828;9323;8414;7315
01/06/2021;ES10;2=;8284;9308;9999;9999;9999;9999;9999;9999;9999;9271;7368;5426
01/06/2021;ES11;1-;57;27;16;29;44;135;547;1339;1086;901;995;1128
01/06/2021;ES11;1=;1263;1190;1004;922;1055;1095;1134;995;672;360;315;168
01/06/2021;ES11;2-;221;137;92;80;84;107;378;1097;1852;1549;1225;1117
01/06/2021;ES11;2=;1138;1093;1188;995;965;989;1012;1000;970;721;491;360
01/06/2021;ES12;1-;399;231;172;159;134;287;1141;2907;3758;3861;3267;2714
01/06/2021;ES12;1=;2297;2230;1877;1998;1965;2118;1986;1854;1736;1325;1006;779
01/06/2021;ES12;2-;91;62;38;27;40;46;74;182;363;392;386;411
01/06/2021;ES12;2=;475;497;534;456;384;412;451;380;401;301;193;153
01/06/2021;ES13;1-;106;74;33;27;28;27;57;120;133;191;220;204
01/06/2021;ES13;1=;184;221;202;182;169;180;204;173;169;184;152;107
01/06/2021;ES13;2-;132;74;71;55;51;60;72;141;275;324;363;355
01/06/2021;ES13;2=;391;339;332;310;294;288;304;297;311;257;194;166
01/06/2021;ES14;1-;590;369;199;147;150;187;411;1151;1626;1873;1841;1817
01/06/2021;ES14;1=;1803;1744;1694;1548;1620;1672;1629;1582;1620;1345;1003;902
01/06/2021;ES14;2-;49;28;33;29;67;215;541;828;770;636;712;766
01/06/2021;ES14;2=;999;1208;891;734;819;885;772;662;466;319;236;144
01/06/2021;ES15;1-;463;266;171;170;151;259;1079;1847;2463;2345;2028;1924
01/06/2021;ES15;1=;1895;2051;2135;2034;1850;1978;1947;1908;1875;1406;1134;877
01/06/2021;ES15;2-;121;105;65;32;35;61;105;222;490;530;492;490
01/06/2021;ES15;2=;476;524;480;457;422;482;535;512;428;330;253;170
01/06/2021;ES16;1-;51;30;26;36;16;61;58;160;288;338;264;301
01/06/2021;ES16;1=;350;373;531;367;272;333;340;369;388;273;147;108
01/06/2021;ES16;2-;137;79;58;48;53;61;162;429;700;702;633;680
01/06/2021;ES16;2=;647;627;610;582;561;599;579;569;522;420;318;204
01/06/2021;ES17;1-;184;80;54;51;75;112;472;1601;2129;2118;1666;1385
01/06/2021;ES17;1=;1411;1451;1736;1493;1281;1467;1592;1448;1415;1126;659;383
01/06/2021;ES17;2-;0;28;254;312;470;382;264;191;409;560;246;305
01/06/2021;ES17;2=;390;350;377;0;0;0;0;0;0;0;0;86
01/06/2021;ES18;1-;137;51;51;36;75;360;1212;2066;1936;1504;1685;1731
01/06/2021;ES18;1=;1886;2020;1632;1497;1538;1742;1893;1591;1198;803;693;439
01/06/2021;ES18;2-;113;60;38;45;100;332;1062;2043;1742;1449;1601;1744
01/06/2021;ES18;2=;1966;2130;1918;1752;1958;2006;2015;1646;1074;673;484;311
01/06/2021;ES19;1-;51;14;10;6;7;20;113;303;870;702;505;547
01/06/2021;ES19;1=;546;693;712;686;538;696;693;744;569;385;231;139
01/06/2021;ES19;2-;646;0;59;30;32;44;135;953;2358;2976;2595;1655
01/06/2021;ES19;2=;1465;1463;1679;2074;1813;1559;1647;1762;1610;1436;1076;625
01/06/2021;ES20;1-;55;36;45;51;94;248;752;1028;955;910;846;915
01/06/2021;ES20;1=;911;942;916;867;946;971;876;773;600;454;320;203
01/06/2021;ES20;2-;138;64;39;60;144;469;988;1246;1139;980;1078;1070
01/06/2021;ES20;2=;1123;1109;914;940;994;1066;1023;914;699;563;365;215
01/06/2021;ES21;1-;92;109;17;18;50;191;492;0;0;0;0;0
01/06/2021;ES21;1=;0;253;744;769;768;1247;834;749;489;302;216;321
01/06/2021;ES21;2-;108;36;30;31;51;111;329;816;1079;946;671;629
01/06/2021;ES21;2=;652;597;687;570;606;649;583;538;537;418;275;155
01/06/2021;ES22;1-;152;55;50;52;97;469;934;1652;1855;1897;2030;2024
01/06/2021;ES22;1=;2142;2238;1966;1894;1998;2140;2099;1825;1234;727;612;438
01/06/2021;ES22;2-;202;73;61;57;105;495;1547;2225;2130;1828;1779;1878
01/06/2021;ES22;2=;1945;2124;1849;1900;1993;1863;1919;1775;1305;863;794;584
01/06/2021;ES23;1-;70;45;33;38;72;0;0;867;905;784;817;1026
01/06/2021;ES23;1=;972;673;819;811;966;994;969;835;689;493;254;124
01/06/2021;ES23;2-;178;107;80;63;120;456;843;1211;1075;1022;1059;1093
01/06/2021;ES23;2=;1085;1094;1008;1092;1053;996;1085;1007;807;669;491;342
01/06/2021;ES24;1-;59;73;23;0;24;0;0;2202;1953;1075;978;900
01/06/2021;ES24;1=;780;887;889;869;850;922;846;723;538;463;245;139
01/06/2021;ES24;2-;62;28;19;20;45;268;1130;1233;1073;845;817;830
01/06/2021;ES24;2=;800;765;740;690;724;721;669;634;482;315;230;129
01/06/2021;ES25;1-;81;46;21;51;19;33;44;154;238;321;320;326
01/06/2021;ES25;1=;346;381;365;372;322;304;374;350;306;287;225;153
01/06/2021;ES25;2-;71;35;39;33;32;59;97;236;451;680;538;485
01/06/2021;ES25;2=;562;581;612;543;424;535;537;578;424;338;252;141
01/06/2021;ES26;1-;81;50;32;38;18;43;69;302;761;949;684;610
01/06/2021;ES26;1=;587;692;764;696;647;678;709;737;583;466;311;194
01/06/2021;ES26;2-;99;53;38;31;20;31;105;173;291;337;313;333
01/06/2021;ES26;2=;388;390;378;379;311;322;339;363;333;264;211;130
01/06/2021;ES27;1-;84;37;19;14;18;44;189;350;392;361;310;312
01/06/2021;ES27;1=;305;323;359;372;310;294;315;342;300;259;205;122
01/06/2021;ES27;2-;27;17;8;10;13;16;96;172;285;318;267;293
01/06/2021;ES27;2=;291;312;302;266;285;301;377;335;249;218;155;89
01/06/2021;ES28;1-;21;10;5;41;48;0;0;597;475;326;358;360
01/06/2021;ES28;1=;432;425;559;393;480;589;493;356;259;175;103;41
01/06/2021;ES28;2-;29;15;9;0;12;0;0;840;756;528;615;402
01/06/2021;ES28;2=;432;594;745;809;798;750;744;584;426;315;166;89
01/06/2021;ES29;1-;35;18;15;2;0;0;0;699;406;326;351;270
01/06/2021;ES29;1=;252;314;398;409;410;434;478;365;229;191;101;60
01/06/2021;ES29;2-;17;8;31;38;24;0;0;267;243;229;262;228
01/06/2021;ES29;2=;108;217;246;254;303;369;314;257;201;149;88;59
01/06/2021;ES30;1-;31;16;32;12;48;0;0;1083;860;609;567;582
01/06/2021;ES30;1=;348;173;241;238;639;569;497;406;277;162;108;18
01/06/2021;ES30;2-;148;81;66;46;44;97;202;443;1302;1223;958;842
01/06/2021;ES30;2=;987;827;803;807;676;775;804;863;727;558;412;277
01/06/2021;ES31;1-;51;30;26;36;16;61;58;160;288;338;264;301
01/06/2021;ES31;1=;350;373;531;367;272;333;340;369;388;273;147;108
01/06/2021;ES31;2-;50;29;13;26;26;31;74;195;530;591;351;289
01/06/2021;ES31;2=;311;268;294;305;272;309;315;306;265;210;118;73
01/06/2021;ES32;1-;137;79;58;48;53;61;162;429;700;702;633;680
01/06/2021;ES32;1=;647;627;610;582;561;599;579;569;522;420;318;204
01/06/2021;ES32;2-;76;57;38;26;48;38;66;129;211;245;260;317
01/06/2021;ES32;2=;327;373;355;318;277;297;283;305;278;250;185;147
01/06/2021;ES33;1-;184;80;54;51;75;112;472;1601;2129;2118;1666;1385
01/06/2021;ES33;1=;1411;1451;1736;1493;1281;1467;1592;1448;1415;1126;659;383
01/06/2021;ES33;2-;118;44;43;40;33;44;167;600;1055;975;742;686
01/06/2021;ES33;2=;768;866;1277;1473;994;1013;1226;1178;910;632;392;222
01/06/2021;ES34;1-;71;72;44;53;44;58;82;222;429;489;451;367
01/06/2021;ES34;1=;341;299;262;247;243;319;253;220;199;165;122;143
01/06/2021;ES34;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/06/2021;ES34;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/06/2021;ES36;1-;137;51;51;36;75;360;1212;2066;1936;1504;1685;1731
01/06/2021;ES36;1=;1886;2020;1632;1497;1538;1742;1893;1591;1198;803;693;439
01/06/2021;ES36;2-;85;54;47;37;104;457;1637;2430;2243;2046;2101;1920
01/06/2021;ES36;2=;2019;2240;2057;1975;2003;2113;2016;1653;1091;677;560;289
01/06/2021;ES37;1-;113;60;38;45;100;332;1062;2043;1742;1449;1601;1744
01/06/2021;ES37;1=;1966;2130;1918;1752;1958;2006;2015;1646;1074;673;484;311
01/06/2021;ES37;2-;77;34;32;75;164;691;1668;2542;2521;2164;1918;1800
01/06/2021;ES37;2=;1964;2234;1884;2039;1865;2035;1817;1561;1031;629;386;196
01/06/2021;ES38;1-;51;14;10;6;7;20;113;303;870;702;505;547
