FDIA;FEST;FSEN;HOR1;HOR2;HOR3;HOR4;HOR5;HOR6;HOR7;HOR8;HOR9;HOR10;HOR11;HOR12;
01/06/2022;ES01;1-;266;161;96;89;147;762;2178;2618;2238;833;900;1415;
01/06/2022;ES01;1=;1598;2154;1728;1759;1727;2068;2075;1836;1179;872;869;744;
01/06/2022;ES01;2-;209;144;135;93;141;340;771;1424;1652;1251;1188;1305;
01/06/2022;ES01;2=;1275;1055;1186;1247;1349;1473;1382;1174;828;668;581;481;
01/06/2022;ES02;1-;198;162;95;94;71;74;124;356;559;631;541;517;
01/06/2022;ES02;1=;557;535;447;452;429;470;470;514;465;419;342;319;
01/06/2022;ES02;2-;510;331;207;150;152;209;545;1179;1434;1301;1191;878;
01/06/2022;ES02;2=;1232;1270;1300;1315;1158;1177;1123;1104;1054;986;818;756;
01/06/2022;ES03;1-;281;157;112;102;63;134;447;2281;2663;2642;2404;1954;
01/06/2022;ES03;1=;1824;1664;1793;1716;1538;1751;1971;1813;1568;1229;777;490;
01/06/2022;ES03;2-;235;154;92;60;50;69;119;344;829;910;1034;1235;
01/06/2022;ES03;2=;1326;1506;1653;1739;1137;1433;1483;1589;1405;1066;652;424;
01/06/2022;ES04;1-;235;124;91;69;59;65;274;1171;1354;1237;966;889;
01/06/2022;ES04;1=;819;693;941;970;934;980;1022;1025;940;803;503;365;
01/06/2022;ES04;2-;154;107;48;44;30;36;108;349;610;630;599;625;
01/06/2022;ES04;2=;616;557;880;831;668;748;888;894;754;501;404;208;
01/06/2022;ES05;1-;1285;690;453;335;250;347;751;1300;1821;2014;1794;2289;
01/06/2022;ES05;1=;2385;2281;1925;3301;2976;3160;3408;3263;2776;2435;1913;1683;
01/06/2022;ES05;2-;417;221;213;127;144;291;1186;2084;2036;2015;1583;1517;
01/06/2022;ES05;2=;1612;1585;1649;1562;1630;1668;1745;1686;1560;1147;891;783;
01/06/2022;ES06;1-;54;25;28;20;54;243;773;1016;895;684;677;790;
01/06/2022;ES06;1=;776;903;751;805;912;1018;910;667;461;295;181;143;
01/06/2022;ES06;2-;82;28;26;24;43;168;606;1029;928;696;677;715;
01/06/2022;ES06;2=;791;908;918;861;963;1052;934;660;434;304;195;157;
01/06/2022;ES07;1-;568;321;171;119;112;173;770;1861;2147;1864;1702;1864;
01/06/2022;ES07;1=;2043;2688;3650;3738;3011;3053;3585;3025;2461;1942;1613;1023;
01/06/2022;ES07;2-;360;166;109;96;167;696;3590;4707;4123;3530;2684;2373;
01/06/2022;ES07;2=;2277;2591;3294;2623;2381;2576;2889;2418;2348;1760;1130;610;
01/06/2022;ES08;1-;534;421;312;254;206;267;374;641;725;814;585;548;
01/06/2022;ES08;1=;729;817;721;804;881;885;789;866;890;866;737;616;
01/06/2022;ES08;2-;555;459;327;256;224;270;442;766;966;871;552;430;
01/06/2022;ES08;2=;763;544;229;530;762;734;774;896;898;856;802;768;
01/06/2022;ES09;1-;596;378;312;270;237;246;369;633;774;893;867;974;
01/06/2022;ES09;1=;582;226;629;893;850;974;907;849;835;828;780;633;
01/06/2022;ES09;2-;0;0;0;0;0;0;0;0;0;0;0;0;
01/06/2022;ES09;2=;0;0;0;0;0;0;0;0;0;0;0;0;
01/06/2022;ES10;1-;0;0;0;0;0;0;0;0;0;0;0;0;
01/06/2022;ES10;1=;0;0;0;0;0;0;0;0;0;0;0;0;
01/06/2022;ES10;2-;157;46;66;71;73;172;374;617;623;519;494;468;
01/06/2022;ES10;2=;21;370;635;555;547;596;624;570;570;458;386;243;
01/06/2022;ES11;1-;1675;0;205;128;74;125;702;4645;6473;5841;5709;4725;
01/06/2022;ES11;1=;3427;3517;3853;5219;4288;3688;4043;4448;3860;3274;2503;1705;
01/06/2022;ES11;2-;1259;790;325;203;161;169;374;1670;3837;4775;4360;3488;
01/06/2022;ES11;2=;3679;2510;3287;3967;3824;3879;5486;5552;5228;4415;3335;2442;
01/06/2022;ES12;1-;418;244;192;206;405;1175;1703;1449;1791;2001;1825;1788;
01/06/2022;ES12;1=;1674;936;968;1740;1680;857;1244;1859;1757;1519;1307;994;
01/06/2022;ES12;2-;0;0;0;0;0;0;0;0;0;0;0;0;
01/06/2022;ES12;2=;0;0;0;0;0;0;0;0;0;0;0;0;
01/06/2022;ES13;1-;226;149;118;98;133;431;1103;1403;1404;1305;1218;1305;
01/06/2022;ES13;1=;1303;1520;1318;1302;1375;1400;1382;1259;1076;863;769;738;
01/06/2022;ES13;2-;321;221;136;90;165;439;1207;1765;1842;1549;1514;1833;
01/06/2022;ES13;2=;1828;1843;1877;1812;1957;2043;1964;1774;1275;909;828;647;
01/06/2022;ES14;1-;44;22;15;21;23;76;250;444;411;423;361;330;
01/06/2022;ES14;1=;420;395;358;451;419;456;444;463;348;228;189;121;
01/06/2022;ES14;2-;17;8;5;8;12;26;81;218;260;231;229;324;
01/06/2022;ES14;2=;336;352;258;243;285;400;323;244;198;113;88;66;
01/06/2022;ES15;1-;45;29;19;27;47;253;988;1099;972;729;708;712;
01/06/2022;ES15;1=;767;896;783;774;746;862;811;693;478;346;243;171;
01/06/2022;ES15;2-;47;23;13;22;43;153;632;1080;1157;936;784;836;
01/06/2022;ES15;2=;812;937;807;717;767;798;689;560;456;255;161;111;
01/06/2022;ES16;1-;273;190;138;105;169;509;955;1302;1496;1271;1435;1546;
01/06/2022;ES16;1=;1607;1625;1563;1562;1562;1482;1715;1429;1094;950;895;776;
01/06/2022;ES16;2-;189;97;87;86;111;488;1413;1528;1639;1648;1490;1499;
01/06/2022;ES16;2=;1497;1405;1404;1348;1394;1516;1412;1345;919;586;427;358;
01/06/2022;ES17;1-;350;188;152;146;304;1453;3015;3155;3003;2726;2461;2543;
01/06/2022;ES17;1=;2616;2669;2367;2536;2792;2764;2755;2564;2013;1363;1103;712;
01/06/2022;ES17;2-;0;0;0;0;0;0;0;0;0;0;0;0;
01/06/2022;ES17;2=;0;0;0;0;0;0;0;0;0;0;0;0;
01/06/2022;ES18;1-;67;32;22;15;31;252;1211;1401;1314;1161;1012;996;
01/06/2022;ES18;1=;726;740;620;587;659;805;680;601;401;240;212;177;
01/06/2022;ES18;2-;94;53;24;25;37;94;252;521;644;838;911;889;
01/06/2022;ES18;2=;1021;1687;1080;844;1012;1199;1166;972;700;445;350;263;
01/06/2022;ES19;1-;158;103;81;60;99;226;536;853;928;923;896;1026;
01/06/2022;ES19;1=;964;971;895;869;950;1063;922;759;590;380;380;301;
01/06/2022;ES19;2-;0;0;0;0;0;0;0;0;0;0;0;0;
01/06/2022;ES19;2=;0;0;0;0;0;0;0;0;0;0;0;0;
01/06/2022;ES20;1-;3609;2463;1016;676;549;633;1384;4557;8426;9445;8770;7965;
01/06/2022;ES20;1=;8726;9244;9999;9999;9999;9999;9999;9999;9999;9914;7840;6769;
01/06/2022;ES20;2-;3236;1710;882;583;529;920;2812;9999;9194;7566;8276;9869;
01/06/2022;ES20;2=;9940;9997;9999;9999;9999;9576;9999;9999;9783;8812;6985;4905;
01/06/2022;ES21;1-;84;38;31;21;43;155;741;1425;1100;828;899;952;
01/06/2022;ES21;1=;1066;1163;893;919;903;1006;1132;965;708;405;303;255;
01/06/2022;ES21;2-;104;64;25;40;80;278;1045;1942;1926;1541;1502;1368;
01/06/2022;ES21;2=;1442;1552;1441;1467;1570;1712;1699;1755;1021;1264;758;421;
01/06/2022;ES22;1-;291;184;98;111;99;151;533;1303;1797;1607;1120;1016;
01/06/2022;ES22;1=;927;1152;1271;1081;1058;1078;1178;1108;976;730;588;477;
01/06/2022;ES22;2-;535;260;169;145;104;118;317;659;981;1038;1145;1221;
01/06/2022;ES22;2=;1373;1523;1420;1454;1178;1202;1306;1323;1210;1054;765;610;
01/06/2022;ES23;1-;688;451;347;277;211;398;1385;3525;3694;3313;483;143;
