FDIA;FEST;FSEN;HOR1;HOR2;HOR3;HOR4;HOR5;HOR6;HOR7;HOR8;HOR9;HOR10;HOR11;HOR12
01/11/2021;ES01;1-;562;396;291;267;231;279;215;231;293;438;647;802
01/11/2021;ES01;1=;1044;995;796;916;1138;1097;1109;1116;929;683;567;319
01/11/2021;ES01;2-;386;361;307;304;245;357;220;247;374;664;1049;1128
01/11/2021;ES01;2=;1071;947;743;926;1061;992;940;784;639;453;365;202
01/11/2021;ES02;1-;374;434;328;312;235;240;248;250;225;278;356;506
01/11/2021;ES02;1=;474;551;517;547;531;581;523;523;533;499;460;619
01/11/2021;ES02;2-;696;608;492;379;342;326;439;435;412;463;645;837
01/11/2021;ES02;2=;904;933;964;859;869;1012;983;932;932;868;704;548
01/11/2021;ES03;1-;465;297;201;170;163;147;207;328;368;496;670;964
01/11/2021;ES03;1=;1081;1113;1193;813;779;961;1082;1066;915;883;550;321
01/11/2021;ES03;2-;340;230;159;118;110;85;106;171;254;235;406;578
01/11/2021;ES03;2=;803;796;879;708;577;666;723;701;715;621;433;289
01/11/2021;ES04;1-;394;297;183;149;138;144;168;207;199;276;363;516
01/11/2021;ES04;1=;719;861;865;565;545;762;918;937;854;632;507;303
01/11/2021;ES04;2-;237;153;130;84;84;90;119;140;134;158;270;384
01/11/2021;ES04;2=;473;474;419;307;312;426;443;421;395;402;245;176
01/11/2021;ES05;1-;1406;1119;885;773;788;626;791;727;692;814;1163;1569
01/11/2021;ES05;1=;1711;1843;1831;1707;1750;2124;2084;2077;2071;1826;1448;1252
01/11/2021;ES05;2-;913;649;466;365;339;486;765;679;878;1060;1356;1448
01/11/2021;ES05;2=;1461;1851;1841;1313;1435;1791;1964;2019;1845;1381;1049;675
01/11/2021;ES06;1-;115;68;44;56;48;80;98;137;169;222;352;417
01/11/2021;ES06;1=;492;440;289;327;437;465;429;380;285;165;112;59
01/11/2021;ES06;2-;124;84;52;56;47;78;80;111;167;283;346;412
01/11/2021;ES06;2=;469;377;253;313;368;411;365;344;249;147;104;66
01/11/2021;ES07;1-;878;550;410;284;266;227;496;575;582;714;1075;1690
01/11/2021;ES07;1=;1908;2001;1910;1530;1534;1851;1964;1774;1688;1430;1045;722
01/11/2021;ES07;2-;683;490;367;240;273;360;786;838;834;1000;1483;1809
01/11/2021;ES07;2=;2090;2245;2069;1425;1683;2182;2530;2242;1975;1551;1016;583
01/11/2021;ES08;1-;373;498;572;461;456;409;381;379;363;494;608;755
01/11/2021;ES08;1=;837;811;762;724;788;800;779;759;713;661;584;530
01/11/2021;ES08;2-;476;626;585;545;460;404;435;381;405;499;620;772
01/11/2021;ES08;2=;885;877;878;765;818;833;820;755;754;733;638;605
01/11/2021;ES09;1-;650;650;568;498;419;355;363;324;345;414;572;760
01/11/2021;ES09;1=;843;847;861;752;621;742;717;646;663;596;551;398
01/11/2021;ES09;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/11/2021;ES09;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/11/2021;ES10;1-;0;0;0;0;0;0;0;0;0;0;0;0
01/11/2021;ES10;1=;0;0;0;0;0;0;0;0;0;0;0;0
01/11/2021;ES10;2-;267;217;160;129;114;124;159;189;245;292;435;503
01/11/2021;ES10;2=;535;562;555;424;473;570;537;544;513;460;358;207
01/11/2021;ES11;1-;1819;0;485;366;207;220;359;838;1116;1103;1565;2215
01/11/2021;ES11;1=;2709;3041;3384;3164;2063;2336;3013;3272;3017;2667;2149;1463
01/11/2021;ES11;2-;970;539;200;146;106;111;283;1328;3350;3805;3415;3300
01/11/2021;ES11;2=;2908;3884;4668;5494;4942;4537;5142;5135;4590;3984;3052;1615
01/11/2021;ES12;1-;1049;808;635;508;549;661;530;621;798;1177;1642;1798
01/11/2021;ES12;1=;1933;1869;1627;1807;1768;1865;1878;1902;1633;1444;1041;543
01/11/2021;ES12;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/11/2021;ES12;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/11/2021;ES13;1-;534;390;407;280;277;293;274;320;367;567;851;909
01/11/2021;ES13;1=;1060;1016;761;865;1082;1019;1012;1023;861;619;499;270
01/11/2021;ES13;2-;704;550;502;386;342;375;315;376;410;635;885;1042
01/11/2021;ES13;2=;1182;1190;948;956;1201;1162;1143;1151;979;693;668;429
01/11/2021;ES14;1-;65;60;39;42;41;54;52;70;77;145;199;239
01/11/2021;ES14;1=;263;239;176;177;205;194;183;176;133;98;74;41
01/11/2021;ES14;2-;47;26;33;30;25;28;32;25;65;105;150;180
01/11/2021;ES14;2=;216;196;118;127;137;148;161;139;112;79;60;29
01/11/2021;ES15;1-;134;91;80;59;51;91;142;128;179;287;374;406
01/11/2021;ES15;1=;415;432;298;341;384;426;404;414;369;283;165;86
01/11/2021;ES15;2-;84;44;34;37;57;68;89;98;110;175;319;348
01/11/2021;ES15;2=;453;432;263;313;447;503;411;373;336;195;122;85
01/11/2021;ES16;1-;560;411;335;302;256;306;277;285;390;594;859;973
01/11/2021;ES16;1=;1102;991;771;882;1060;1050;952;962;835;652;503;325
01/11/2021;ES16;2-;381;286;249;202;207;283;235;284;338;530;822;956
01/11/2021;ES16;2=;1037;983;657;672;928;988;940;823;749;499;369;242
01/11/2021;ES17;1-;808;572;510;454;465;549;541;618;830;1270;1810;2134
01/11/2021;ES17;1=;2436;2463;1765;1997;2299;2516;2439;2229;1844;1481;948;440
01/11/2021;ES17;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/11/2021;ES17;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/11/2021;ES18;1-;176;106;99;91;81;84;95;144;205;328;410;538
01/11/2021;ES18;1=;522;457;339;334;441;473;427;384;298;227;138;110
01/11/2021;ES18;2-;371;182;118;99;99;93;75;100;166;316;503;674
01/11/2021;ES18;2=;686;681;423;474;585;559;551;591;433;302;198;167
01/11/2021;ES19;1-;344;274;257;215;180;224;189;234;284;430;600;619
01/11/2021;ES19;1=;732;626;528;545;579;624;605;575;490;365;324;199
01/11/2021;ES19;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/11/2021;ES19;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/11/2021;ES20;1-;2802;1793;870;586;469;543;1215;3777;7668;8851;8135;7629
01/11/2021;ES20;1=;6977;7682;8245;7814;6852;7040;8338;8501;7715;6789;5904;4411
01/11/2021;ES20;2-;5543;0;1800;1184;1034;942;1448;2868;3301;3315;4011;5612
01/11/2021;ES20;2=;6851;8119;9106;8915;6191;6818;8359;8893;8683;8223;6682;4659
01/11/2021;ES21;1-;158;137;72;78;80;90;90;151;244;344;513;554
01/11/2021;ES21;1=;685;617;376;477;543;571;577;550;415;280;192;77
01/11/2021;ES21;2-;216;151;95;100;94;120;150;228;320;497;741;788
01/11/2021;ES21;2=;965;891;477;555;701;848;789;660;471;287;211;108
01/11/2021;ES22;1-;447;325;260;246;195;196;256;268;295;360;499;655
01/11/2021;ES22;1=;779;888;845;675;655;778;819;798;772;596;456;379
01/11/2021;ES22;2-;626;452;379;316;247;221;285;284;267;355;568;824
01/11/2021;ES22;2=;880;937;931;750;720;834;898;925;866;763;613;485
01/11/2021;ES23;1-;774;813;713;663;616;562;670;571;599;494;769;1088
01/11/2021;ES23;1=;1279;1393;1361;1005;1232;1654;1768;1832;1749;1601;1203;942
01/11/2021;ES23;2-;1233;1293;1118;977;931;728;838;730;667;739;1004;1429
01/11/2021;ES23;2=;1511;1648;1607;1578;1622;1884;1841;1716;1747;1584;1327;1200
01/11/2021;ES24;1-;307;190;129;108;86;69;84;91;95;137;237;356
01/11/2021;ES24;1=;426;523;438;323;321;339;382;335;325;270;192;150
01/11/2021;ES24;2-;158;130;107;83;90;63;75;98;99;159;243;322
01/11/2021;ES24;2=;369;404;277;193;217;254;223;251;219;195;132;97
01/11/2021;ES25;1-;156;114;118;114;116;92;61;71;72;91;112;124
01/11/2021;ES25;1=;146;139;145;134;135;146;133;141;172;148;122;113
01/11/2021;ES25;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/11/2021;ES25;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/11/2021;ES26;1-;341;270;237;186;153;142;134;119;138;137;164;289
01/11/2021;ES26;1=;276;251;235;238;256;250;239;242;254;257;223;183
01/11/2021;ES26;2-;320;233;228;185;145;143;132;132;151;181;232;316
01/11/2021;ES26;2=;316;300;306;320;293;313;315;288;291;318;259;234
01/11/2021;ES27;1-;457;679;748;663;611;628;602;591;576;688;945;1271
01/11/2021;ES27;1=;1476;1573;1459;1258;1164;1230;1300;1257;1196;931;791;704
01/11/2021;ES27;2-;523;566;544;497;452;475;400;373;474;590;946;1085
01/11/2021;ES27;2=;1046;1022;842;913;1030;1005;915;860;734;621;482;365
01/11/2021;ES28;1-;172;108;72;71;71;108;124;140;248;329;487;515
01/11/2021;ES28;1=;548;489;430;435;545;587;523;523;452;319;242;124
01/11/2021;ES28;2-;150;124;102;91;113;169;185;270;275;436;542;629
01/11/2021;ES28;2=;764;643;471;595;731;767;747;733;572;394;308;149
01/11/2021;ES29;1-;636;489;396;368;347;338;480;363;553;650;805;1062
01/11/2021;ES29;1=;1117;1255;1222;1120;1131;1388;1253;1202;1246;1039;898;817
01/11/2021;ES29;2-;1129;771;499;472;411;408;602;474;632;752;1037;1407
01/11/2021;ES29;2=;1602;1704;1612;1350;1352;1827;1820;1910;1871;1717;1366;1084
01/11/2021;ES30;1-;185;140;126;111;97;94;98;91;118;129;172;218
01/11/2021;ES30;1=;275;306;331;276;249;314;322;328;329;250;221;186
01/11/2021;ES30;2-;274;255;215;144;182;135;152;148;205;245;362;463
01/11/2021;ES30;2=;504;624;672;530;472;551;551;669;574;495;358;265
01/11/2021;ES31;1-;78;64;53;42;44;40;50;54;67;79;101;145
01/11/2021;ES31;1=;198;227;224;156;118;177;187;189;175;174;110;73
01/11/2021;ES31;2-;62;62;46;44;34;33;52;44;75;79;148;163
01/11/2021;ES31;2=;187;226;197;129;118;151;205;167;169;132;81;53
01/11/2021;ES32;1-;309;244;193;173;130;120;143;142;186;259;324;467
01/11/2021;ES32;1=;542;602;559;422;404;459;472;496;408;379;261;190
01/11/2021;ES32;2-;354;255;204;140;144;103;114;124;117;153;199;307
01/11/2021;ES32;2=;378;410;404;339;346;387;389;349;339;286;230;174
01/11/2021;ES33;1-;345;248;162;113;104;110;230;241;258;400;566;799
01/11/2021;ES33;1=;993;1124;1237;806;733;984;1214;1218;1155;869;567;376
01/11/2021;ES33;2-;201;108;90;67;54;62;102;123;158;241;361;496
01/11/2021;ES33;2=;650;646;584;435;428;539;524;617;537;440;307;201
01/11/2021;ES34;1-;127;114;120;129;107;116;89;88;117;160;248;311
01/11/2021;ES34;1=;352;301;266;209;186;214;223;228;192;170;135;130
01/11/2021;ES34;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/11/2021;ES34;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/11/2021;ES36;1-;600;396;382;279;286;340;277;245;341;497;748;898
01/11/2021;ES36;1=;1142;1127;830;959;1060;1103;1167;1056;912;607;502;280
01/11/2021;ES36;2-;366;276;191;183;202;278;246;310;487;865;1396;1459
01/11/2021;ES36;2=;1547;1332;936;1046;1274;1445;1358;1161;937;615;485;179
01/11/2021;ES37;1-;292;233;155;161;174;264;224;278;393;623;862;947
01/11/2021;ES37;1=;1052;957;758;926;1063;989;895;825;651;479;361;213
01/11/2021;ES37;2-;301;192;165;149;155;300;371;417;530;785;987;1149
01/11/2021;ES37;2=;1447;1484;765;820;1060;1188;1224;1107;789;523;354;148
01/11/2021;ES38;1-;105;82;52;25;24;29;38;55;120;229;278;390
01/11/2021;ES38;1=;452;435;385;243;239;331;335;367;327;236;186;116
01/11/2021;ES38;2-;103;34;31;25;30;34;50;83;93;135;263;303
01/11/2021;ES38;2=;351;362;295;185;218;333;291;292;229;168;123;61
