FDIA;FEST;FSEN;HOR1;HOR2;HOR3;HOR4;HOR5;HOR6;HOR7;HOR8;HOR9;HOR10;HOR11;HOR12
01/10/2021;ES01;1-;502;283;175;135;197;727;2035;2518;2016;1711;1800;2032
01/10/2021;ES01;1=;2233;2465;2054;1608;1481;1513;1521;1851;1458;1110;972;1110
01/10/2021;ES01;2-;429;315;206;176;217;382;800;1398;1547;1346;1477;1479
01/10/2021;ES01;2=;1490;1404;1411;1497;1666;1716;1594;1524;1626;1044;854;858
01/10/2021;ES02;1-;441;360;244;223;199;163;719;1055;1171;1141;1170;1161
01/10/2021;ES02;1=;1158;1191;1117;1083;1143;1097;1112;1118;1117;919;501;523
01/10/2021;ES02;2-;375;248;267;238;185;194;1224;1098;1217;1220;1094;1028
01/10/2021;ES02;2=;1003;1001;928;921;971;979;1001;977;1052;1019;977;973
01/10/2021;ES03;1-;337;165;120;117;121;750;2285;2037;2653;2294;1754;1640
01/10/2021;ES03;1=;1559;1532;1827;1873;1597;1786;1683;1598;1544;1442;1040;688
01/10/2021;ES03;2-;349;125;114;98;63;78;494;992;802;985;1067;1263
01/10/2021;ES03;2=;1385;1584;1711;2015;1476;1592;1515;1303;1274;1212;793;469
01/10/2021;ES04;1-;153;107;67;82;92;283;1055;1026;1196;1153;944;879
01/10/2021;ES04;1=;916;933;1013;1062;951;971;983;961;1060;531;650;522
01/10/2021;ES04;2-;207;96;86;85;59;154;493;807;633;605;627;627
01/10/2021;ES04;2=;712;824;997;877;805;887;920;754;667;599;398;282
01/10/2021;ES05;1-;997;659;696;504;433;407;765;1300;1883;2026;2224;2472
01/10/2021;ES05;1=;2763;3212;3693;3725;3542;3400;3339;3051;3104;2940;2333;1923
01/10/2021;ES05;2-;219;134;108;175;180;1086;1347;2459;2472;2315;2299;2148
01/10/2021;ES05;2=;2098;2188;2212;2320;2222;2211;2144;2255;2283;626;815;623
01/10/2021;ES06;1-;63;27;24;29;56;206;836;853;764;666;702;721
01/10/2021;ES06;1=;822;1167;1101;828;810;798;757;734;577;299;293;212
01/10/2021;ES06;2-;89;42;36;33;44;165;520;926;727;682;733;752
01/10/2021;ES06;2=;865;1235;1252;948;886;829;773;684;624;317;267;267
01/10/2021;ES07;1-;737;516;306;212;122;206;785;1740;2079;1778;1737;2115
01/10/2021;ES07;1=;2367;3117;4066;3998;3695;3794;3563;2915;2774;2241;1596;1142
01/10/2021;ES07;2-;568;296;138;159;177;619;3548;4701;3458;3075;2440;2281
01/10/2021;ES07;2=;2348;2812;3602;3105;2431;2776;2793;2648;2984;2451;1560;1244
01/10/2021;ES08;1-;639;633;484;391;322;288;434;585;807;967;1017;961
01/10/2021;ES08;1=;965;984;635;577;747;917;903;941;880;930;784;857
01/10/2021;ES08;2-;709;630;423;352;290;291;415;661;786;852;911;926
01/10/2021;ES08;2=;960;1041;924;838;836;901;913;901;949;922;948;899
01/10/2021;ES09;1-;547;531;393;300;271;246;347;537;1017;832;930;780
01/10/2021;ES09;1=;842;859;1069;1018;862;948;929;941;969;989;880;813
01/10/2021;ES09;2-;0;0;0;0;0;0;0;0;0;0;0;0
