FDIA;FEST;FSEN;HOR1;HOR2;HOR3;HOR4;HOR5;HOR6;HOR7;HOR8;HOR9;HOR10;HOR11;HOR12;
01/10/2023;ES01;1-;674;465;320;281;222;842;1836;2284;1910;1833;1816;2065;
01/10/2023;ES01;1=;2293;2169;2226;1921;1875;1771;1729;1642;1562;1311;1395;1502;
01/10/2023;ES01;2-;509;272;210;119;197;368;697;1238;1472;1321;1316;1370;
01/10/2023;ES01;2=;1372;989;1319;1251;1323;1411;1278;1459;1226;922;713;756;
01/10/2023;ES02;1-;341;253;236;204;161;145;132;326;503;558;624;610;
01/10/2023;ES02;1=;581;475;451;460;478;462;529;571;589;511;442;425;
01/10/2023;ES02;2-;841;512;423;363;316;372;568;1234;1494;1298;1186;1312;
01/10/2023;ES02;2=;1226;1250;1127;1307;1249;1170;1211;1114;1115;1272;1239;1059;
01/10/2023;ES03;1-;356;205;155;112;135;143;425;2100;2309;2099;1784;1568;
01/10/2023;ES03;1=;1553;1485;1708;1762;1446;1633;1705;1556;1704;1470;849;623;
01/10/2023;ES03;2-;281;174;97;89;74;92;123;327;734;931;1031;1262;
01/10/2023;ES03;2=;1414;1506;1748;1806;1243;1405;1283;1252;1184;1033;697;542;
01/10/2023;ES04;1-;153;107;75;92;71;283;1055;1043;1207;1173;980;967;
01/10/2023;ES04;1=;950;977;1037;1043;962;1006;1043;937;1069;646;656;444;
01/10/2023;ES04;2-;183;111;79;67;65;72;113;378;610;585;611;703;
01/10/2023;ES04;2=;693;753;1000;962;813;865;839;667;645;591;408;308;
01/10/2023;ES05;1-;1470;659;532;410;443;497;813;1215;1975;1904;2016;2356;
01/10/2023;ES05;1=;2686;2976;3367;3457;3189;3163;3014;2728;2418;2583;2126;2035;
01/10/2023;ES05;2-;381;301;260;202;188;363;1037;1927;1785;1949;1696;1689;
01/10/2023;ES05;2=;1633;1615;1602;1552;1547;1128;1290;1267;1603;1623;1148;854;
01/10/2023;ES06;1-;58;33;21;36;70;247;837;939;791;662;702;712;
01/10/2023;ES06;1=;766;1038;994;865;883;836;679;667;582;332;254;224;
01/10/2023;ES06;2-;65;33;25;32;34;150;465;889;649;588;615;682;
01/10/2023;ES06;2=;681;1052;1141;770;740;655;641;610;440;282;202;223;
01/10/2023;ES07;1-;832;274;226;155;140;266;786;1846;2128;1744;1543;1787;
01/10/2023;ES07;1=;2127;2920;4330;3836;2941;2984;2732;2446;2376;1988;1447;1180;
01/10/2023;ES07;2-;358;213;152;133;234;801;3718;4156;3151;2802;2360;2241;
01/10/2023;ES07;2=;2198;2577;3174;2727;2241;2475;2355;2353;2441;1842;1178;822;
01/10/2023;ES08;1-;705;554;508;320;424;407;446;664;741;817;870;834;
01/10/2023;ES08;1=;809;844;817;824;875;835;842;765;778;811;834;789;
01/10/2023;ES08;2-;755;605;534;472;433;439;532;753;881;844;876;906;
01/10/2023;ES08;2=;637;857;892;862;857;879;934;870;868;834;811;820;
01/10/2023;ES09;1-;585;437;440;470;391;357;451;619;696;791;1035;753;
01/10/2023;ES09;1=;883;995;958;981;937;950;921;869;792;943;872;871;
01/10/2023;ES09;2-;0;0;0;0;0;0;0;0;0;0;0;0;
01/10/2023;ES09;2=;0;0;0;0;0;0;0;0;0;0;0;0;
01/10/2023;ES10;1-;0;0;0;0;0;0;0;0;0;0;0;0;
01/10/2023;ES10;1=;0;0;0;0;0;0;0;0;0;0;0;0;
01/10/2023;ES10;2-;262;99;130;73;77;145;233;347;351;510;388;437;
01/10/2023;ES10;2=;355;345;560;363;527;453;458;400;493;475;321;280;
01/10/2023;ES11;1-;859;444;302;141;81;150;676;4252;6187;5679;4672;4035;
01/10/2023;ES11;1=;3552;3543;4201;5743;5148;3969;4149;4001;3556;3512;2618;1623;
01/10/2023;ES11;2-;1025;644;339;241;174;193;398;1406;3576;4116;3543;3236;
01/10/2023;ES11;2=;3514;3023;3900;5785;5344;3588;5121;4597;4683;4600;3572;2233;
01/10/2023;ES12;1-;716;540;455;409;572;1134;1735;1811;1959;1922;1846;1618;
01/10/2023;ES12;1=;1538;536;893;1225;1568;1527;1777;1650;1826;1558;1619;1619;
