FDIA;FEST;FSEN;HOR1;HOR2;HOR3;HOR4;HOR5;HOR6;HOR7;HOR8;HOR9;HOR10;HOR11;HOR12
01/09/2021;ES01;1-;190;93;72;62;111;514;1633;2179;2105;1595;1583;1527
01/09/2021;ES01;1=;1712;2037;1513;1978;1388;1570;1475;2074;1493;999;915;409
01/09/2021;ES01;2-;173;77;91;61;92;333;650;1181;1280;1034;1147;1162
01/09/2021;ES01;2=;1136;1312;1344;1391;1304;1366;1161;1058;807;512;483;339
01/09/2021;ES02;1-;298;193;163;111;95;90;780;1147;1218;1183;1192;1153
01/09/2021;ES02;1=;1144;1114;1085;1037;1099;1092;1124;1101;1021;810;436;343
01/09/2021;ES02;2-;347;212;132;110;100;512;1213;990;1151;1116;1060;1055
01/09/2021;ES02;2=;1046;1008;1043;962;986;1005;830;915;934;832;657;531
01/09/2021;ES03;1-;239;150;97;84;145;681;2320;2433;2434;2241;1635;1410
01/09/2021;ES03;1=;1389;1322;1495;1405;1896;1960;1416;1161;1073;902;568;352
01/09/2021;ES03;2-;226;116;75;57;48;149;479;971;679;833;926;1087
01/09/2021;ES03;2=;1263;1295;1383;1461;1320;1350;1289;1198;907;676;474;297
01/09/2021;ES04;1-;175;124;80;73;47;271;1053;883;1167;1158;930;888
01/09/2021;ES04;1=;884;910;932;891;873;863;928;890;723;644;362;299
01/09/2021;ES04;2-;130;80;46;51;46;64;478;837;739;711;768;825
01/09/2021;ES04;2=;896;1134;845;796;586;630;672;657;530;365;252;154
01/09/2021;ES05;1-;1085;622;341;285;225;605;1204;1766;1949;2146;2325;2593
01/09/2021;ES05;1=;2880;3286;2640;2567;2561;2491;2596;2600;2412;1811;1428;1190
01/09/2021;ES05;2-;181;117;144;118;156;1067;1497;2378;2183;2134;2223;1994
01/09/2021;ES05;2=;1945;1946;2058;1849;1882;1887;2044;1868;1631;1392;971;691
01/09/2021;ES06;1-;68;26;31;27;56;182;936;828;634;546;838;851
01/09/2021;ES06;1=;599;649;579;838;616;697;962;796;553;320;260;184
01/09/2021;ES06;2-;65;32;19;23;37;133;592;993;577;619;641;627
01/09/2021;ES06;2=;684;780;959;708;753;874;629;755;354;329;162;204
01/09/2021;ES07;1-;612;268;139;98;94;142;646;1595;2001;1679;1603;1875
01/09/2021;ES07;1=;1996;2567;3589;3755;2749;2706;3222;2662;2120;1612;1304;783
01/09/2021;ES07;2-;316;132;82;73;109;552;2920;4233;3411;3313;2466;2187
01/09/2021;ES07;2=;2064;2392;3011;2315;2126;2207;2305;1929;1877;1538;936;578
01/09/2021;ES08;1-;442;335;229;211;160;161;260;992;707;855;1037;972
01/09/2021;ES08;1=;1007;1020;947;826;957;952;863;896;851;759;675;575
01/09/2021;ES08;2-;370;286;216;168;141;608;1121;1240;728;1161;840;847
01/09/2021;ES08;2=;864;867;855;775;820;1154;815;1146;727;671;656;513
01/09/2021;ES09;1-;369;271;322;160;277;442;739;867;978;738;876;870
01/09/2021;ES09;1=;979;861;1017;752;814;853;840;788;721;664;570;484
01/09/2021;ES09;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/09/2021;ES09;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/09/2021;ES10;1-;0;0;0;0;0;0;0;0;0;0;0;0
01/09/2021;ES10;1=;0;0;0;0;0;0;0;0;0;0;0;0
01/09/2021;ES10;2-;156;103;109;65;81;175;404;562;552;503;500;528
01/09/2021;ES10;2=;583;620;594;551;495;587;588;597;559;475;363;235
01/09/2021;ES11;1-;853;518;163;94;76;104;562;3452;5945;5544;5544;3840
01/09/2021;ES11;1=;3362;3137;3691;5068;3911;3304;3289;3418;3008;2754;2019;1233
01/09/2021;ES11;2-;1531;583;269;164;144;169;322;1462;3300;4177;3732;3375
01/09/2021;ES11;2=;2576;3796;4445;5237;4961;4375;4666;4705;4441;4388;2550;1843
01/09/2021;ES12;1-;327;183;135;155;254;938;1710;1531;1721;1960;1888;1892
01/09/2021;ES12;1=;1885;1136;1283;1758;1465;1312;1712;1819;1695;1217;1066;707
01/09/2021;ES12;2-;0;0;0;0;0;0;0;0;0;0;0;0
01/09/2021;ES12;2=;0;0;0;0;0;0;0;0;0;0;0;0
01/09/2021;ES13;1-;181;95;100;82;115;354;983;1351;1506;1334;1367;1375
01/09/2021;ES13;1=;1401;1478;1314;1322;1282;1425;1358;1231;886;581;755;426
01/09/2021;ES13;2-;255;147;107;66;112;333;961;1539;1629;1509;1551;1640
01/09/2021;ES13;2=;1608;1805;1695;1455;1526;1595;1451;1394;1068;1108;963;492
01/09/2021;ES14;1-;39;11;18;15;18;74;158;330;331;351;376;382
01/09/2021;ES14;1=;367;336;297;334;315;341;328;277;177;133;101;122
01/09/2021;ES14;2-;18;9;11;8;9;28;83;173;251;232;294;320
01/09/2021;ES14;2=;304;351;245;259;242;275;261;216;145;98;83;41
01/09/2021;ES15;1-;77;31;31;19;38;203;690;1225;1019;636;851;597
01/09/2021;ES15;1=;633;727;644;567;820;601;840;729;373;217;171;132
01/09/2021;ES15;2-;69;34;28;21;53;130;610;995;1063;874;815;788
01/09/2021;ES15;2=;802;1016;899;807;826;807;732;612;453;299;198;121
01/09/2021;ES16;1-;198;127;92;62;146;265;835;1078;1179;1215;1311;1404
01/09/2021;ES16;1=;1492;1592;1488;1422;1404;1472;1409;1367;1393;640;619;474
01/09/2021;ES16;2-;155;105;84;63;97;345;1162;1649;1639;1508;1365;1328
01/09/2021;ES16;2=;1256;1288;1261;1206;1275;1235;1124;1056;1139;471;391;292
01/09/2021;ES17;1-;299;169;91;134;205;1022;2545;3004;2960;2746;2566;2574
01/09/2021;ES17;1=;2440;2520;2319;2362;2372;2618;2223;2264;1723;1087;840;504
