tipo_bloque,C,50;TIPO,C,254;VIA_CLASE,C,254;VIA_PAR,C,254;VIA_NOMBRE,C,254;CLASE_APP,C,254;NUMERO,N,10,0;COD_NDP,N,10,0;DISTRITO,N,10,0;BARRIO,N,10,0;X_UTM,N,19,11;Y_UTM,N,19,11
B - Báculo.;SA - Sodio alta presión.;AUTOVIA;;M-11;KM;00+880;00ML88ALUM01;15;9;443295,5819;4481692,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B - Báculo.;SA - Sodio alta presión.;AUTOVIA;;M-11;KM;00+940;00ML94ALUM01;15;9;443347,4624;4481688,713,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B - Báculo.;SA - Sodio alta presión.;AUTOVIA;;M-11;KM;00+990;00ML99ALUM01;15;9;443397,8127;4481684,383,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA - Palmera.;SA - Sodio alta presión.;AUTOVIA;;M-11;KM;00+700;00MT70ALUM01;16;6;443048,6619;4481727,903,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B - Báculo.;SA - Sodio alta presión.;AUTOVIA;;M-11;KM;00+950;00MT95ALUM01;16;6;443397,4922;4481733,365,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B - Báculo.;SA - Sodio alta presión.;AUTOVIA;;M-30;KM;00+180;00NC18ALUM01;5;6;442903,5411;4481515,973,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B - Báculo.;SA - Sodio alta presión.;AUTOVIA;;M-30;KM;00+290;00NC29ALUM01;5;6;442887,2375;4481409,261,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B - Báculo.;SA - Sodio alta presión.;AUTOVIA;;M-30;KM;00+360;00NC36ALUM01;5;6;442879,0376;4481345,723,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B - Báculo.;SA - Sodio alta presión.;AUTOVIA;;M-30;KM;00+460;00NC46ALUM01;5;6;442860,6446;4481243,266,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B - Báculo.;SA - Sodio alta presión.;AUTOVIA;;M-30;KM;00+510;00NC51ALUM01;5;6;442852,5349;4481191,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B - Báculo.;SA - Sodio alta presión.;AUTOVIA;;M-30;KM;00+560;00NC56ALUM01;5;6;442846,2332;4481144,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B - Báculo.;SA - Sodio alta presión.;AUTOVIA;;M-30;KM;00+640;00NC64ALUM01;5;6;442838,6068;4481071,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B - Báculo.;SA - Sodio alta presión.;AUTOVIA;;M-30;KM;00+710;00NC71ALUM01;5;6;442833,3413;4480999,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B - Báculo.;SA - Sodio alta presión.;AUTOVIA;;M-30;KM;00+760;00NC76ALUM01;5;6;442832,3439;4480955,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B - Báculo.;SA - Sodio alta presión.;AUTOVIA;;M-30;KM;00+810;00NC81ALUM01;5;6;442834,1487;4480898,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B - Báculo.;SA - Sodio alta presión.;AUTOVIA;;M-30;KM;00+850;00NC85ALUM01;5;6;442805,9509;4480940,401,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B - Báculo.;SA - Sodio alta presión.;AUTOVIA;;M-30;KM;00+850;00NC85ALUM02;5;6;442838,8178;4480858,694,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B - Báculo.;SA - Sodio alta presión.;AUTOVIA;;M-30;KM;00+890;00NC89ALUM01;5;6;442841,3685;4480823,898,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B - Báculo.;SA - Sodio alta presión.;AUTOVIA;;M-30;KM;00+930;00NC93ALUM01;5;6;442847,0841;4480781,506,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B - Báculo.;SA - Sodio alta presión.;AUTOVIA;;M-30;KM;00+970;00NC97ALUM01;5;6;442852,3729;4480742,583,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B - Báculo.;SA - Sodio alta presión.;AUTOVIA;;M-30;KM;00+140;00RA14ALUM01;5;6;442808,3454;4480873,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
