año,mes,distrito,fuegos,daños_en_construccion,salvamentos_y_rescates,daños_por_agua,incidentes_diversos,salidas_sin_intervencion,servicios_varios,total,idMes
2019,enero,CENTRO,27,20,35,21,41,16,10,170,1
2019,enero,ARGANZUELA,16,9,13,8,24,8,3,81,1
2019,enero,RETIRO,7,4,7,4,18,6,4,50,1
2019,enero,SALAMANCA,21,15,16,14,31,17,7,121,1
2019,enero,CHAMARTIN,12,7,21,5,25,6,5,81,1
2019,enero,TETUAN,28,9,19,9,36,10,1,112,1
2019,enero,CHAMBERI,9,13,26,2,20,10,0,80,1
2019,enero,FUENCARRAL,33,13,20,4,32,13,9,124,1
2019,enero,MONCLOA,14,3,15,12,36,10,8,98,1
2019,enero,LATINA,23,8,18,13,51,12,24,149,1
2019,enero,CARABANCHEL,37,11,12,9,45,18,3,135,1
2019,enero,USERA,19,6,13,2,25,6,3,74,1
2019,enero,PUENTE VALLECAS,40,9,19,9,30,8,2,117,1
2019,enero,MORATALAZ,14,0,6,2,11,1,0,34,1
2019,enero,CIUDAD LINEAL,35,6,17,6,35,8,2,109,1
2019,enero,HORTALEZA,24,5,22,4,18,10,3,86,1
2019,enero,VILLAVERDE,38,2,12,4,21,4,3,84,1
2019,enero,VILLA DE VALLECAS,22,1,4,3,8,9,5,52,1
2019,enero,VICALVARO,11,3,9,1,3,7,1,35,1
2019,enero,SAN BLAS,17,4,10,8,18,5,2,64,1
2019,enero,BARAJAS,7,1,3,2,1,1,3,18,1
2019,febrero,CENTRO,25,21,21,15,27,16,12,137,2
2019,febrero,ARGANZUELA,16,7,11,5,15,11,7,72,2
2019,febrero,RETIRO,11,7,12,2,7,6,1,46,2
2019,febrero,SALAMANCA,21,10,15,9,21,7,2,85,2
2019,febrero,CHAMARTIN,12,5,11,2,20,7,6,63,2
2019,febrero,TETUAN,12,7,21,7,10,5,6,68,2
2019,febrero,CHAMBERI,17,12,21,5,24,11,2,92,2
2019,febrero,FUENCARRAL,32,8,22,5,25,7,7,106,2
2019,febrero,MONCLOA,8,4,13,2,11,3,6,47,2
2019,febrero,LATINA,24,4,10,5,16,15,14,88,2
2019,febrero,CARABANCHEL,37,2,18,6,33,16,4,116,2
2019,febrero,USERA,23,0,6,1,7,11,2,50,2
2019,febrero,PUENTE VALLECAS,43,6,12,8,21,7,2,99,2
2019,febrero,MORATALAZ,12,4,5,2,10,4,0,37,2
2019,febrero,CIUDAD LINEAL,29,6,21,1,31,10,1,99,2
2019,febrero,HORTALEZA,16,3,8,4,13,6,2,52,2
2019,febrero,VILLAVERDE,23,2,9,2,11,7,13,67,2
2019,febrero,VILLA DE VALLECAS,30,2,12,0,7,9,3,63,2
2019,febrero,VICALVARO,10,2,4,1,6,2,0,25,2
2019,febrero,SAN BLAS,18,1,12,1,15,4,3,54,2
2019,febrero,BARAJAS,5,1,2,0,3,0,5,16,2
2019,marzo,CENTRO,29,21,31,10,37,18,23,169,3
2019,marzo,ARGANZUELA,32,1,23,8,23,11,8,106,3
2019,marzo,RETIRO,9,2,7,2,14,3,2,39,3
2019,marzo,SALAMANCA,14,10,13,2,25,6,12,82,3
2019,marzo,CHAMARTIN,21,12,11,9,20,8,11,92,3
2019,marzo,TETUAN,32,12,14,10,18,11,6,103,3
2019,marzo,CHAMBERI,21,13,19,5,14,6,2,80,3
2019,marzo,FUENCARRAL,22,4,21,7,35,8,11,108,3
2019,marzo,MONCLOA,16,4,15,6,23,4,8,76,3
2019,marzo,LATINA,20,3,14,6,25,11,7,86,3
2019,marzo,CARABANCHEL,44,3,17,8,27,11,5,115,3
2019,marzo,USERA,17,4,8,5,13,10,3,60,3
2019,marzo,PUENTE VALLECAS,45,7,16,4,37,10,5,124,3
2019,marzo,MORATALAZ,9,2,9,1,11,4,0,36,3
2019,marzo,CIUDAD LINEAL,25,4,13,11,26,12,2,93,3
2019,marzo,HORTALEZA,27,1,18,6,17,8,3,80,3
2019,marzo,VILLAVERDE,43,3,13,6,19,8,4,96,3
2019,marzo,VILLA DE VALLECAS,24,1,14,3,9,10,4,65,3
2019,marzo,VICALVARO,13,0,3,1,5,3,1,26,3
2019,marzo,SAN BLAS,17,3,6,4,27,5,3,65,3
2019,marzo,BARAJAS,10,1,5,2,3,2,1,24,3
2019,abril,CENTRO,21,23,30,24,39,15,6,158,4
2019,abril,ARGANZUELA,17,7,19,9,26,5,5,88,4
2019,abril,RETIRO,9,7,14,6,22,7,2,67,4
2019,abril,SALAMANCA,14,18,17,11,25,9,4,98,4
2019,abril,CHAMARTIN,5,8,21,12,34,10,4,94,4
2019,abril,TETUAN,22,14,14,11,21,8,2,92,4
2019,abril,CHAMBERI,17,12,13,9,16,8,5,80,4
2019,abril,FUENCARRAL,31,8,22,11,35,15,4,126,4
2019,abril,MONCLOA,12,4,20,11,23,8,4,82,4
2019,abril,LATINA,32,7,26,7,29,10,1,112,4
2019,abril,CARABANCHEL,32,6,27,7,38,13,0,123,4
2019,abril,USERA,18,4,17,5,19,3,4,70,4
2019,abril,PUENTE VALLECAS,29,7,27,10,37,20,21,151,4
2019,abril,MORATALAZ,9,1,7,5,10,3,1,36,4
2019,abril,CIUDAD LINEAL,27,8,21,6,35,10,1,108,4
2019,abril,HORTALEZA,10,5,14,5,35,15,3,87,4
2019,abril,VILLAVERDE,31,5,21,5,14,3,1,80,4
2019,abril,VILLA DE VALLECAS,12,1,9,2,9,9,2,44,4
2019,abril,VICALVARO,5,3,6,2,9,4,0,29,4
2019,abril,SAN BLAS,17,5,10,8,30,3,4,77,4
2019,abril,BARAJAS,4,1,4,3,6,2,3,23,4
2019,abril,FUERA DEL TERMINO MUNICIPAL,1,0,1,0,0,0,1,3,4
2019,mayo,CENTRO,33,33,38,19,60,16,7,206,5
2019,mayo,ARGANZUELA,30,8,17,9,47,13,7,131,5
2019,mayo,RETIRO,14,5,16,4,32,6,4,81,5
2019,mayo,SALAMANCA,22,13,20,5,31,11,8,110,5
2019,mayo,CHAMARTIN,17,8,14,10,49,7,4,109,5
2019,mayo,TETUAN,24,12,23,4,31,12,5,111,5
2019,mayo,CHAMBERI,19,11,19,7,36,16,4,112,5
2019,mayo,FUENCARRAL,29,6,33,12,42,6,9,137,5
2019,mayo,MONCLOA,26,6,29,7,53,14,3,138,5
2019,mayo,LATINA,50,10,38,7,45,18,8,176,5
2019,mayo,CARABANCHEL,41,12,25,5,51,12,6,152,5
2019,mayo,USERA,30,6,14,2,21,8,6,87,5
2019,mayo,PUENTE VALLECAS,36,3,38,4,44,10,5,140,5
2019,mayo,MORATALAZ,14,0,10,3,19,3,0,49,5
2019,mayo,CIUDAD LINEAL,21,7,24,9,56,10,2,129,5
2019,mayo,HORTALEZA,29,3,26,4,49,8,9,128,5
2019,mayo,VILLAVERDE,41,1,13,2,26,6,3,92,5
2019,mayo,VILLA DE VALLECAS,42,3,22,7,18,11,2,105,5
2019,mayo,VICALVARO,14,0,7,0,12,3,0,36,5
2019,mayo,SAN BLAS,27,7,24,4,41,7,0,110,5
2019,mayo,BARAJAS,9,1,11,4,7,2,6,40,5
2019,mayo,FUERA DEL TERMINO MUNICIPAL,1,0,0,0,0,0,0,1,5
2019,junio,CENTRO,40,24,37,22,40,19,4,186,6
2019,junio,ARGANZUELA,32,7,15,14,24,8,4,104,6
2019,junio,RETIRO,18,3,15,7,23,7,2,75,6
2019,junio,SALAMANCA,15,17,19,15,26,9,6,107,6
2019,junio,CHAMARTIN,26,8,20,11,34,7,2,108,6
2019,junio,TETUAN,38,8,26,10,23,4,5,114,6
2019,junio,CHAMBERI,22,11,20,7,41,6,2,109,6
2019,junio,FUENCARRAL,57,5,29,7,44,3,5,150,6
2019,junio,MONCLOA,25,2,22,7,33,10,3,102,6
2019,junio,LATINA,55,11,28,8,40,6,3,151,6
2019,junio,CARABANCHEL,64,8,20,10,34,9,1,146,6
2019,junio,USERA,27,5,15,8,18,8,5,86,6
2019,junio,PUENTE VALLECAS,66,6,35,6,45,6,8,172,6
2019,junio,MORATALAZ,18,1,6,5,23,4,2,59,6
2019,junio,CIUDAD LINEAL,30,4,19,8,42,10,4,117,6
2019,junio,HORTALEZA,50,4,26,12,39,7,3,141,6
2019,junio,VILLAVERDE,74,2,24,1,20,7,0,128,6
2019,junio,VILLA DE VALLECAS,66,0,15,2,21,16,0,120,6
2019,junio,VICALVARO,58,0,5,0,7,9,2,81,6
2019,junio,SAN BLAS,34,6,21,8,39,8,1,117,6
2019,junio,BARAJAS,10,1,5,2,5,5,4,32,6
2019,julio,CENTRO,39,16,40,24,41,13,2,175,7
2019,julio,ARGANZUELA,26,5,17,8,33,8,0,97,7
2019,julio,RETIRO,9,5,19,5,20,5,3,66,7
2019,julio,SALAMANCA,28,12,22,20,41,9,7,139,7
2019,julio,CHAMARTIN,22,7,18,13,54,4,1,119,7
2019,julio,TETUAN,21,7,13,13,38,15,0,107,7
2019,julio,CHAMBERI,28,9,19,10,39,8,0,113,7
2019,julio,FUENCARRAL,36,2,23,15,57,9,1,143,7
2019,julio,MONCLOA,22,6,17,10,34,4,2,95,7
2019,julio,LATINA,29,8,28,15,60,11,6,157,7
2019,julio,CARABANCHEL,67,8,33,7,50,11,1,177,7
2019,julio,USERA,22,3,11,4,24,4,2,70,7
2019,julio,PUENTE VALLECAS,33,8,30,12,41,9,9,142,7
2019,julio,MORATALAZ,15,1,10,3,19,1,0,49,7
2019,julio,CIUDAD LINEAL,48,3,23,13,62,5,5,159,7
2019,julio,HORTALEZA,19,5,26,14,52,7,3,126,7
2019,julio,VILLAVERDE,50,2,25,8,32,7,4,128,7
2019,julio,VILLA DE VALLECAS,57,0,23,6,13,9,0,108,7
2019,julio,VICALVARO,34,2,6,2,19,2,0,65,7
2019,julio,SAN BLAS,21,2,30,11,48,2,7,121,7
2019,julio,BARAJAS,16,3,8,6,19,5,2,59,7
2019,julio,FUERA DEL TERMINO MUNICIPAL,1,0,0,0,0,2,0,3,7
2019,agosto,CENTRO,28,20,46,46,39,10,3,192,8
2019,agosto,ARGANZUELA,17,3,22,11,39,8,1,101,8
2019,agosto,RETIRO,8,6,11,10,36,5,0,76,8
2019,agosto,SALAMANCA,19,9,22,19,19,5,3,96,8
2019,agosto,CHAMARTIN,18,6,16,18,28,7,2,95,8
2019,agosto,TETUAN,21,7,22,21,23,2,2,98,8
2019,agosto,CHAMBERI,11,8,16,21,34,3,2,95,8
2019,agosto,FUENCARRAL,27,3,21,12,34,4,2,103,8
2019,agosto,MONCLOA,11,4,19,10,35,3,1,83,8
2019,agosto,LATINA,23,6,27,24,41,12,5,138,8
2019,agosto,CARABANCHEL,39,8,26,19,54,9,0,155,8
2019,agosto,USERA,16,10,11,9,20,3,1,70,8
2019,agosto,PUENTE VALLECAS,49,9,31,33,46,11,0,179,8
2019,agosto,MORATALAZ,5,1,9,8,15,3,1,42,8
2019,agosto,CIUDAD LINEAL,18,4,25,13,54,5,2,121,8
2019,agosto,HORTALEZA,19,2,20,9,29,1,0,80,8
2019,agosto,VILLAVERDE,35,3,19,17,35,5,0,114,8
2019,agosto,VILLA DE VALLECAS,46,2,14,14,9,6,0,91,8
2019,agosto,VICALVARO,20,0,14,3,4,6,1,48,8
2019,agosto,SAN BLAS,21,6,17,12,24,5,0,85,8
2019,agosto,BARAJAS,4,5,7,8,11,1,0,36,8
2019,agosto,FUERA DEL TERMINO MUNICIPAL,0,0,0,0,0,1,0,1,8
2019,septiembre,CENTRO,28,22,44,23,38,11,10,176,9
2019,septiembre,ARGANZUELA,13,6,20,9,28,9,7,92,9
2019,septiembre,RETIRO,11,4,12,7,24,2,4,64,9
2019,septiembre,SALAMANCA,23,16,25,15,30,10,3,122,9
2019,septiembre,CHAMARTIN,14,5,17,4,27,4,3,74,9
2019,septiembre,TETUAN,22,4,25,14,23,6,1,95,9
2019,septiembre,CHAMBERI,15,12,28,9,19,5,1,89,9
2019,septiembre,FUENCARRAL,23,7,28,5,55,7,6,131,9
2019,septiembre,MONCLOA,8,3,13,9,22,8,3,66,9
2019,septiembre,LATINA,21,7,29,13,39,8,5,122,9
2019,septiembre,CARABANCHEL,40,9,26,13,38,3,1,130,9
2019,septiembre,USERA,20,6,12,6,18,6,3,71,9
2019,septiembre,PUENTE VALLECAS,45,12,24,9,45,5,3,143,9
2019,septiembre,MORATALAZ,9,2,14,5,21,2,0,53,9
2019,septiembre,CIUDAD LINEAL,24,8,16,5,39,5,4,101,9
2019,septiembre,HORTALEZA,23,7,20,7,30,7,0,94,9
2019,septiembre,VILLAVERDE,46,5,18,5,28,4,0,106,9
2019,septiembre,VILLA DE VALLECAS,21,0,18,2,21,3,4,69,9
2019,septiembre,VICALVARO,16,1,7,3,5,6,0,38,9
2019,septiembre,SAN BLAS,9,5,13,2,46,7,3,85,9
2019,septiembre,BARAJAS,4,3,11,2,14,3,4,41,9
2019,septiembre,FUERA DEL TERMINO MUNICIPAL,0,0,0,1,0,0,2,3,9
2019,octubre,CENTRO,35,24,42,20,55,12,10,198,10
2019,octubre,ARGANZUELA,9,8,22,12,30,4,4,89,10
2019,octubre,RETIRO,9,4,11,10,18,5,1,58,10
2019,octubre,SALAMANCA,18,5,25,15,25,3,11,102,10
2019,octubre,CHAMARTIN,14,5,27,10,20,6,11,93,10
2019,octubre,TETUAN,36,11,16,10,18,3,5,99,10
2019,octubre,CHAMBERI,26,3,24,9,27,6,4,99,10
2019,octubre,FUENCARRAL,18,6,23,5,33,9,15,109,10
2019,octubre,MONCLOA,7,5,27,11,28,2,2,82,10
2019,octubre,LATINA,21,5,28,9,40,6,5,114,10
2019,octubre,CARABANCHEL,29,9,30,7,35,12,6,128,10
2019,octubre,USERA,16,4,15,6,25,2,1,69,10
2019,octubre,PUENTE VALLECAS,34,9,22,10,41,7,16,139,10
2019,octubre,MORATALAZ,10,2,15,9,19,2,3,60,10
2019,octubre,CIUDAD LINEAL,17,6,28,11,28,13,1,104,10
2019,octubre,HORTALEZA,16,4,21,5,21,9,4,80,10
2019,octubre,VILLAVERDE,38,2,13,7,25,6,6,97,10
2019,octubre,VILLA DE VALLECAS,26,5,8,7,17,4,2,69,10
2019,octubre,VICALVARO,9,1,6,2,3,5,0,26,10
2019,octubre,SAN BLAS,16,0,20,5,27,4,2,74,10
2019,octubre,BARAJAS,1,2,11,0,10,1,4,29,10
2019,octubre,FUERA DEL TERMINO MUNICIPAL,0,0,0,0,0,0,1,1,10
2019,noviembre,CENTRO,37,27,31,20,43,6,15,179,11
2019,noviembre,ARGANZUELA,8,4,19,5,29,4,10,79,11
2019,noviembre,RETIRO,10,6,15,8,20,2,0,61,11
2019,noviembre,SALAMANCA,14,10,32,12,23,6,4,101,11
2019,noviembre,CHAMARTIN,9,12,18,6,40,9,10,104,11
2019,noviembre,TETUAN,20,15,16,12,35,4,2,104,11
2019,noviembre,CHAMBERI,10,11,25,8,25,8,2,89,11
2019,noviembre,FUENCARRAL,16,7,13,8,78,12,11,145,11
2019,noviembre,MONCLOA,14,3,15,3,34,9,2,80,11
2019,noviembre,LATINA,26,7,15,10,46,8,3,115,11
2019,noviembre,CARABANCHEL,26,14,37,9,53,7,4,150,11
2019,noviembre,USERA,22,6,10,5,22,6,6,77,11
2019,noviembre,PUENTE VALLECAS,35,8,37,7,40,7,38,172,11
2019,noviembre,MORATALAZ,13,1,5,2,17,1,1,40,11
2019,noviembre,CIUDAD LINEAL,20,9,34,10,35,5,6,119,11
2019,noviembre,HORTALEZA,22,8,22,6,43,3,1,105,11
2019,noviembre,VILLAVERDE,29,3,22,1,23,4,4,86,11
2019,noviembre,VILLA DE VALLECAS,22,1,17,3,10,5,2,60,11
2019,noviembre,VICALVARO,7,1,11,4,11,1,1,36,11
2019,noviembre,SAN BLAS,25,8,17,5,37,3,2,97,11
