estación,nombre,latitud,longitud,sentido,orient.
1,Paseo de la Castellana,404319272588958.0,-368910874956933.0,1,S-N
1,Paseo de la Castellana,404319272588958.0,-368910874956933.0,2,N-S
2,Calle Princesa,404260679064732.0,-371270896289063.0,1,N-S
2,Calle Princesa,404260679064732.0,-371270896289063.0,2,S-N
3,Calle Doctor Esquerdo,404175763959444.0,-366926245767642.0,1,S-N
3,Calle Doctor Esquerdo,404175763959444.0,-366926245767642.0,2,N-S
4,Paseo de San Franciso de Sales,40440372005251.0,-371622659871628.0,1,O-E
4,Paseo de San Franciso de Sales,40440372005251.0,-371622659871628.0,2,E-O
5,Paseo de Santa María de la Cabeza,404065688227239.0,-369464350381843.0,1,N-S
5,Paseo de Santa María de la Cabeza,404065688227239.0,-369464350381843.0,2,S-N
6,Calle Arturo Soria,404526332486327.0,-365358647803295.0,1,S-N
6,Calle Arturo Soria,404526332486327.0,-365358647803295.0,2,N-S
7,Avenida de Portugal,404116728730907.0,-373699778904199.0,1,O-E
7,Avenida de Portugal,404116728730907.0,-373699778904199.0,2,E-O
8,Calle Gran Vía,404204093385744.0,-370329480676606.0,1,E-O
8,Calle Gran Vía,404204093385744.0,-370329480676606.0,2,O-E
9,Calle Atocha,404138652926449.0,-370188209550832.0,1,E-O
9,Calle Atocha,404138652926449.0,-370188209550832.0,0,
10,Avenida de Oporto,403858793971148.0,-372461207735011.0,0,
10,Avenida de Oporto,403858793971148.0,-372461207735011.0,2,O-E
11,Avenida del Manzanares (M-30),404261267538242.0,-373231932296528.0,1,N-S
11,Avenida del Manzanares (M-30),404261267538242.0,-373231932296528.0,2,S-N
12,Calle José Abascal,404384075034351.0,-36937331524823.0,1,O-E
12,Calle José Abascal,404384075034351.0,-36937331524823.0,0,
13,Calle Génova,404268358142544.0,-369328597549542.0,1,E-O
13,Calle Génova,404268358142544.0,-369328597549542.0,2,O-E
14,Calle José Ortega y Gasset,40430345114991.0,-367770767919241.0,1,E-O
14,Calle José Ortega y Gasset,40430345114991.0,-367770767919241.0,2,O-E
15,Avenida Reina Victoria,404469238285087.0,-371129445401288.0,1,E-O
15,Avenida Reina Victoria,404469238285087.0,-371129445401288.0,2,O-E
16,Calle Alberto Aguilera,404300736526848.0,-370705219230349.0,1,E-O
16,Calle Alberto Aguilera,404300736526848.0,-370705219230349.0,2,O-E
17,Calle Cea Bermúdez,404390472777018.0,-370924812834354.0,1,O-E
17,Calle Cea Bermúdez,404390472777018.0,-370924812834354.0,0,
18,Avenida Menéndez Pelayo,404212372986662.0,-367970671704422.0,1,S-N
18,Avenida Menéndez Pelayo,404212372986662.0,-367970671704422.0,2,N-S
19,Calle Bravo Murillo,404434732824779.0,-370421157598837.0,1,N-S
19,Calle Bravo Murillo,404434732824779.0,-370421157598837.0,0,
20,Avenida del Manzanares (M-30),404066759316064.0,-366394861931571.0,1,E-O
20,Avenida del Manzanares (M-30),404066759316064.0,-366394861931571.0,2,O-E
21,Calle Príncipe de Vergara,404577180758397.0,-367681581181014.0,1,S-N
21,Calle Príncipe de Vergara,404577180758397.0,-367681581181014.0,2,N-S
22,Calle Ronda de Valencia,404059577701658.0,-369968693086339.0,1,O-E
22,Calle Ronda de Valencia,404059577701658.0,-369968693086339.0,2,E-O
23,Paseo de El Prado,404126143323327.0,-36930605046621.0,1,S-N
23,Paseo de El Prado,404126143323327.0,-36930605046621.0,2,N-S
24,Calle de Gran Vía de San Francisco,404099139077151.0,-37136276172691.0,1,N-S
24,Calle de Gran Vía de San Francisco,404099139077151.0,-37136276172691.0,2,S-N
25,Calle Hortaleza,404205585927311.0,-370111284055911.0,1,S-N
25,Calle Hortaleza,404205585927311.0,-370111284055911.0,0,
26,Calle San Bernardo,404222277936522.0,-370771721842136.0,1,N-S
26,Calle San Bernardo,404222277936522.0,-370771721842136.0,2,S-N
27,Calle Alcalá,404200775984783.0,-369077150776939.0,1,E-O
27,Calle Alcalá,404200775984783.0,-369077150776939.0,2,O-E
28,Calle Méndez Álvaro,40397062.0,-3681941.0,1,N-S
28,Calle Méndez Álvaro,40397062.0,-3681941.0,2,S-N
29,Paseo Infanta Isabel,40408082811314.0,-369016917966358.0,1,O-E
29,Paseo Infanta Isabel,40408082811314.0,-369016917966358.0,2,E-O
30,Calle Embajadores,404034525851563.0,-370105001670518.0,1,O-E
30,Calle Embajadores,404034525851563.0,-370105001670518.0,2,E-O
31,Francos Rodríguez,404593166032967.0,-37172189280209.0,1,E-O
31,Francos Rodríguez,404593166032967.0,-37172189280209.0,2,O-E
32,Calle Toledo,404056820561041.0,-371218180486285.0,1,S-N
32,Calle Toledo,404056820561041.0,-371218180486285.0,2,N-S
33,Calle Sinesio Delgado,404717739130205.0,-37097777635907.0,1,O-E
33,Calle Sinesio Delgado,404717739130205.0,-37097777635907.0,2,E-O
34,Calle Mayor,404164050749125.0,-370802982022045.0,1,O-E
34,Calle Mayor,404164050749125.0,-370802982022045.0,0,
35,Calle Arenal,404177158809657.0,-370702341119376.0,0,
36,Paseo de la Castellana,404553833677611.0,-369027297871756.0,1,S-N
36,Paseo de la Castellana,404553833677611.0,-369027297871756.0,2,N-S
37,Calle Costa Rica,404589364210189.0,-367021431998301.0,1,O-E
37,Calle Costa Rica,404589364210189.0,-367021431998301.0,2,E-O
38,Avenida Cardenal Herrera Oria,404820701455717.0,-371921494287052.0,1,E-O
38,Avenida Cardenal Herrera Oria,404820701455717.0,-371921494287052.0,2,O-E
39,Avenida de la Ilustración (M-30),404820701455717.0,-371921494287052.0,1,E-O
39,Avenida de la Ilustración (M-30),404820701455717.0,-371921494287052.0,2,O-E
40,Calle Raimundo Fernández Villaverde,404468282587968.0,-369753963293666.0,1,O-E
40,Calle Raimundo Fernández Villaverde,404468282587968.0,-369753963293666.0,2,E-O
41,Calle Bravo Murillo,404648666485307.0,-369478223751634.0,1,S-N
41,Calle Bravo Murillo,404648666485307.0,-369478223751634.0,2,N-S
42,Avenida General Perón,404524152000469.0,-369176688832777.0,1,O-E
42,Avenida General Perón,404524152000469.0,-369176688832777.0,2,E-O
43,Paseo de Extremadura,404133446331213.0,-37297793313802.0,1,O-E
43,Paseo de Extremadura,404133446331213.0,-37297793313802.0,2,E-O
44,Calle Serrano,404278578208061.0,-36871607015382.0,1,N-S
44,Calle Serrano,404278578208061.0,-36871607015382.0,0,
45,Calle Velázquez,404243098201028.0,-368406421053937.0,1,S-N
45,Calle Velázquez,404243098201028.0,-368406421053937.0,0,
46,Avenida de la Albufera,403885035227608.0,-364184687291051.0,1,O-E
46,Avenida de la Albufera,403885035227608.0,-364184687291051.0,2,E-O
47,Calle Alcalá,404332759145268.0,-364906693223517.0,1,O-E
47,Calle Alcalá,404332759145268.0,-364906693223517.0,2,E-O
48,Calle Hermanos García Noblejas,404231808511027.0,-362711826892317.0,1,S-N
48,Calle Hermanos García Noblejas,404231808511027.0,-362711826892317.0,2,N-S
49,Avenida de Valladolid,404330194173268.0,-373304342552853.0,1,S-N
49,Avenida de Valladolid,404330194173268.0,-373304342552853.0,2,N-S
50,Calle López de Hoyos,404426063850442.0,-367650540797205.0,1,O-E
50,Calle López de Hoyos,404426063850442.0,-367650540797205.0,2,E-O
51,Avenida Alfonso XIII,40449671647936.0,-366649679019547.0,1,N-S
51,Avenida Alfonso XIII,40449671647936.0,-366649679019547.0,2,S-N
52,Avenida Brasilia,40437556.0,-36611065.0,1,N-S
52,Avenida Brasilia,40437556.0,-36611065.0,2,S-N
53,Calle de Marcelo Usera,403858385319673.0,-370999268917448.0,1,E-O
53,Calle de Marcelo Usera,403858385319673.0,-370999268917448.0,2,O-E
54,Avenida Rafaela Ybarra,403837670975031.0,-371113303311878.0,1,S-N
54,Avenida Rafaela Ybarra,403837670975031.0,-371113303311878.0,2,N-S
55,Calle Alcocer,403499687848044.0,-370064553489148.0,1,E-O
55,Calle Alcocer,403499687848044.0,-370064553489148.0,2,O-E
56,Avenida Arcentales,404260023774206.0,-362670269580585.0,1,E-O
56,Avenida Arcentales,404260023774206.0,-362670269580585.0,2,O-E
57,Calle Silvano,404630076610887.0,-363396502301157.0,1,O-E
57,Calle Silvano,404630076610887.0,-363396502301157.0,2,E-O
58,Avenida de Logroño,404618490894087.0,-35910937723728.0,1,E-O
58,Avenida de Logroño,404618490894087.0,-35910937723728.0,2,O-E
59,Calle San Cipriano,404044120727823.0,-360588835825753.0,1,O-E
59,Calle San Cipriano,404044120727823.0,-360588835825753.0,2,E-O
60,Calle Camino de Vinateros,404109315826646.0,-365683389839975.0,1,E-O
60,Calle Camino de Vinateros,404109315826646.0,-365683389839975.0,2,O-E
