radar,ubicacion,carretara_o_vial,pk,sentido,tipo,longitud,latitud
1,"M-30, ENTRADA DE LA A-1, SENTIDO PUENTE DE VENTAS P.K. 0,500",M-30,0+500,Calzada interior,Fijo carriles 3 y 4,-3.67433808,40.47934148
2,"M-30, ENTRADA DE LA A-1, SENTIDO PUENTE DE VENTAS P.K. 0,500",M-30,0+500,Calzada interior,Fijo carriles 3 y 4,-3.67429089,40.47934175
3,PASO INFERIOR COSTA RICA,M-30,-,PRÍNCIPE DE VERGARA,Fijo,-3.66880283,40.45892328
4,"M-30, PTE. DE VENTAS. SENTIDO SUR A O´DONNELL P.K. 6,700",M-30,6+700,Tronco calzada interior,Fijo carriles 1 y 3,-3.66014384,40.42618023
5,"M-30, PTE. DE VENTAS. SENTIDO SUR A O´DONNELL P.K. 6,700",M-30,6+700,Tronco calzada interior,Fijo carriles 1 y 3,-3.66006141,40.42618971
6,"M-30, ENLACE O´DONNELL SENTIDO NORTE A PTE. DE VENTAS PK 7,800",M-30,7+800,Tronco calzada exterior,Fijo carriles 2 y 3,-3.65926082,40.41663568
7,"M-30, ENLACE O´DONNELL SENTIDO NORTE A PTE. DE VENTAS PK 7,800",M-30,7+800,Tronco calzada exterior,Fijo carriles 2 y 3,-3.65929627,40.41664449
8,"TÚNEL BAIPÁS, SENTIDO NORTE A PTE. DE VENTAS (MÉNDEZ ÁLVARO-AVDA. DEL METITARRÁNEO)",M-30,10+300,Calzada exterior,Fijo carril 1,-3.670048,40.397352
9,"TÚNEL BAIPÁS, SENTIDO NORTE A PTE. DE VENTAS (MÉNDEZ ÁLVARO-AVDA. DEL METITARRÁNEO)",M-30,10+300,Calzada exterior,Fijo carril 3,-3.669973,40.397323
10,"ENTRADA TÚNEL M-30, DESDE NUDO SUR HACIA PTE. DE LOS FRANCESES",M-30,13+250,Calzada interior,Fijo carril 3,-3.69499826,40.38678654
11,"TÚNEL M-30, SENTIDO NUDO SUR - PTE. DE LOS FRANCESES, (GTA. LEGAZPI - Pº STA. Mª DE LA CABEZA)",M-30,13+860,Calzada interior,Fijo carril 1,-3.699691,40.39118
12,"TÚNEL BYPASS, SENTIDO A-3 A PTE. FRANCESES, (GTA. LEGAZPI - Pº STA. Mª DE LA CABEZA)",M-30,14+200,Calzada interior,Fijo carril 3,-3.703274,40.394924
13,"PASEO DE STA. Mª DE LA CABEZA Nº 115, ENTRADA",PASEO DE SANTA MARIA DE LA CABEZA,115,Entrada,Fijo,-3.71017703,40.39052318
14,"TÚNEL BYPASS, SENTIDO A3 A PTE. DE LOS FRANCESES, (ENLACE Pº STA. Mª DE LA CABEZA)",M-30,14+740,Calzada interior,Fijo carril 1,-3.708108,40.39657
15,"TÚNEL BYPASS, SENTIDO A3 A PTE. DE LOS FRANCESES, (Pº STA. Mª DE LA CABEZA - GTA. PIRÁMIDES)",M-30,15+010,Calzada interior,Fijo carril 3,-3.709684,40.397139
16,"TÚNEL M-30, SENTIDO PTE. DE LOS FRANCESES - A3 (PTE. SAN ISIDRO - GTA. MARQUÉS DE VADILLO)",M-30,16+530,Calzada exterior,Fijo multicarril,-3.722988,40.403114
17,"TÚNEL M-30, SENTIDO NUDO SUR - PTE. DE LOS FRANCESES, (PASADA SALIDA VIRGEN DEL PUERTO)",M-30,17+170,Calzada interior,Fijo carril 1,-3.721414,40.40939
18,"TÚNEL AVDA. DE PORTUGAL, SENTIDO M-30",A5,4+150,Entrada de Madrid,Fijo carril 1,-3.731092,40.41389
19,"TÚNEL AVDA. DE PORTUGAL, SENTIDO M-30",A5,4+150,Entrada de Madrid,Fijo carril 4,-3.73102,40.413797
20,"A-5 PK 4,000, SALIDA",A5,4,Salida,Radar de tramo,-3.74545156,40.40744539
21,"ENTRADA TÚNEL EN MARQUÉS DE MONISTROL, P.K. 19,060",M-30,19+060,Calzada exterior,Fijo carril 1 y 4,-3.727663,40.422937
22,"ENTRADA TÚNEL EN MARQUÉS DE MONISTROL, P.K. 19,060",M-30,19+060,Calzada exterior,Fijo carril 1 y 4,-3.727724,40.422839
23,"M-30  MARQUÉS DE MONISTROL, SENTIDO PTE. DE LOS FRANCESES (PTE. DEL REY - PTE. FRANCESES) P.K. 19,800",M-30,19+900,Calzada interior,Fijo carriles 2 y 3,-3.73482875,40.42763957
24,"M-30 SENTIDO AVDA. DE LA ILUSTRACIÓN (CTRA. DEL PARDO - AVDA. DE LA ILUSTRACIÓN) P.K. 25,700",M-30,25+700,Calzada interior,Fijo multicarril,-3.74530618,40.4743471
25,M-30 CTRA DEL PARDO (AVDA. DE LA ILUSTRACIÓN - CTRA. DEL PARDO),M-30,27+300,CTRA DEL PARDO,Fijo multicarril,-3.73089695,40.47279048
26,"PASEO DE LA CASTELLANA Nº 300, SALIDA",PASEO DE LA CASTELLANA,300,Salida,Salida,-3.68542793,40.48048344
27,"AVENIDA DE CÓRDOBA CON CALLE DOCTOR TOLOSA LATOUR, SENTIDO GLORIETA DE MÁLAGA",AVENIDA DE CÓRDOBA,"Inicio: GLORIETA DE CÁDIZ
Fin: AVENIDA DE CÓRDOBA CON CALLE DOCTOR TOLOSA LATOUR",Salida,"Salida, radar de tramo",-3.696519,40.37859
28,"A-5 PK 5+750, SENTIDO SALIDA",A5,P.K  4+000 ----- P.K. 5+750,Salida,"Salida, radar de tramo",-3.763586116,40.4001242
29,"A-5 PK 4+000, SENTIDO ENTRADA",A5,P.K. 5+750 ----- P.K  4+000,Entrada,"Entrada, radar de tramo",-3.745747553,40.40724126
